dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 00:02:00,h17811c1:3,"[3704.6648830634545, 2444.5129502968825]","[31.340731105496076, 30.06258300919441]",57.66151231971734,671744652#4,671744652#4_0,2607.03,263.21,12
2022-12-04 00:02:00,h23152c1:3,"[4403.177270974966, 1570.493094233037]","[31.34810595113789, 30.054789919023687]",58.39862352545811,850927457,850927457_0,3030.53,83.18,12
2022-12-04 00:02:00,h42087c1:5,"[2536.589378263507, 2346.017900139262]","[31.328632596887577, 30.06154105563365]",56.582624051481304,182371955#0,182371955#0_0,2615.96,263.55,12
2022-12-04 00:02:00,randUni12320:1,"[3900.1935509763784, 2443.7743067374386]","[31.34275894091786, 30.062601925719306]",47.32360688106871,26195270#6-AddedOffRampEdge,26195270#6-AddedOffRampEdge_1,2604.67,83.66,12
2022-12-04 00:02:00,randUni4659:1,"[2856.850923089566, 2350.523804812808]","[31.33195312446926, 30.061623887498357]",72.78966265020676,765656381#3,765656381#3_0,3580.15,263.83,12
2022-12-04 00:02:00,randUni5117:1,"[2130.249141779021, 2035.1463300885794]","[31.324465972942026, 30.058683145777426]",52.92974195841654,650714381#7,650714381#7_0,2974.94,264.54,12
2022-12-04 00:02:00,randUni6133:1,"[4167.84709671763, 1930.9486820887491]","[31.345611580975287, 30.058010817540783]",59.0745193032265,669890462#15,669890462#15_0,2126.7,173.9,12
2022-12-04 00:02:00,randUni6263:1,"[3453.124663541304, 2418.5878408551994]","[31.338126426312606, 30.062316192983285]",39.1577959779541,671744652#7,671744652#7_1,2296.39,300.77,12
2022-12-04 00:02:00,randUni7045:1,"[4287.253665202545, 1785.2478544904495]","[31.34687167005745, 30.056712061810913]",42.02410132118424,25746544#3,25746544#3_0,2844.75,173.35,12
2022-12-04 00:02:00,randUni7237:1,"[4358.951408448881, 2496.1120389084804]","[31.347508641733626, 30.06313394504859]",66.99044865242071,858915973#2-AddedOnRampEdge,858915973#2-AddedOnRampEdge_1,2401.72,83.85,12
2022-12-04 00:02:00,randUni8356:1,"[3346.457270703861, 2920.047250207961]","[31.336944599959075, 30.0668257217481]",48.97230047139974,700145115#2,700145115#2_0,2562.12,263.57,12
2022-12-04 00:02:00,randUni8464:1,"[4303.3146803385, 1569.233886004906]","[31.347070595985556, 30.054765544757345]",66.72264507500992,700675428,700675428_1,2099.83,262.9,12
2022-12-04 00:03:00,h23152c1:3,"[5413.529432519198, 1674.803098779088]","[31.358567501133557, 30.055862102987767]",61.45039269569768,850839746,850839746_1,4048.71,84.43,7
2022-12-04 00:03:00,randUni12320:1,"[4170.437218329889, 1905.9949109589559]","[31.345642184035835, 30.057786053680175]",50.13672930527261,669890462#15,669890462#15_0,3369.31,174.07,7
2022-12-04 00:03:00,randUni6133:1,"[4264.214051134395, 1564.9387840405257]","[31.346665778759974, 30.05472170139176]",60.93425900182653,700673537,700673537_0,3023.48,220.54,7
2022-12-04 00:03:00,randUni6263:1,"[3317.789503653059, 3145.754308793441]","[31.336613232191144, 30.06885799548788]",62.35664514191309,28886503#0,28886503#0_0,3323.81,8.35,7
2022-12-04 00:03:00,randUni7045:1,"[5057.111596987516, 1737.1713943398963]","[31.35486219991552, 30.0563785175959]",56.380404416685934,25746572#6,25746572#6_0,3730.04,83.13,7
2022-12-04 00:03:00,randUni7237:1,"[4522.408424659647, 2837.4587310071342]","[31.34915267107975, 30.066234451474386]",68.33833314899219,37711813#5,37711813#5_0,3411.63,353.46,7
2022-12-04 00:03:00,randUni8464:1,"[4037.390790598719, 1706.8878922231202]","[31.34429238707258, 30.0559725895431]",61.6120953473025,-28581389,-28581389_0,3013.24,264.14,7
2022-12-04 00:04:00,randUni7045:1,"[5455.986382177134, 2110.574440189403]","[31.3589429280126, 30.059798612343045]",21.08034681330831,:cluster_6274370099_6570392639_18,:cluster_6274370099_6570392639_18_0,4601.2,42.93,2
2022-12-04 00:04:00,randUni7237:1,"[4874.780040784883, 3334.313866745894]","[31.35273283554072, 30.070762315744368]",65.81151168361171,940974903#3,940974903#3_1,4490.62,248.89,2
