id,from,to,priority,type,shape,spreadType
32691966#0,367886978,cluster_6568148781_6572827960_6572827962_6884069715_8285723079,3,highway.residential,"[6077.04, 1750.82]",center
32691996#0,cluster_287522801_442338119_6574844080_6574844081_6904513932,278877001,3,highway.residential,"[6093.1, 1753.16]",
32691996#4,278877041,cluster_278876888_6104250209,3,highway.residential,"[6413.14, 1787.24]",
32692001#0,cluster_278876865_543376980_6574844073_6574844074_6646262859,278877392,3,highway.residential,"[6439.29, 1789.74]",
32692001#3,278877231,278877182,3,highway.residential,"[5633.85, 1700.94]",
32692001#6,278877149,cluster_278876866_442290112,3,highway.residential,"[5682.04, 1707.67]",
32692020#1,cluster_278876018_6574844046,278876160,3,highway.residential,"[5699.29, 1709.75]",
32692020#4,278876122,278876137,3,highway.residential,"[3795.05, 1271.93]",
32692020#7,278876187,cluster_367871992_543376977_6278666057_7205752204_7205752205,3,highway.residential,"[3801.69, 1204.1]",
32692680,cluster_314796636_6568207664_6568207666,6568207665,3,highway.residential,"[4203.67, 839.23]",center
32692809#0,6568207746,cluster_6568207743_6568207745_9848177519_9848177526,3,highway.residential,"[4196.32, 906.33]",center
32692813,cluster_6568207743_6568207745_9848177519_9848177526,6568207744,3,highway.residential,"[4191.81, 945.55]",center
32693292#0,cluster_367217679_367888060,cluster_367888061_6279963928,3,highway.residential,"[4189.08, 969.16]",
35458363#0,415863652,cluster_415863653_6570524736,3,highway.residential,"[4188.49, 973.2]",
35458364,415863654,cluster_6568148775_6572827954_6572827955_6572827956_6572827957,3,highway.residential,"[4181.82, 1032.04]",
35560212#0,416997966,6569939800,3,highway.residential,"[4165.16, 1177.4]",
35560212#1,6569939800,7237045163,3,highway.residential,"[4149.49, 1311.48]",
35583850#1,416998066,416998089,3,highway.residential,"[5104.52, 1281.29]",
35583895,416998066,416998089,3,highway.residential,"[2458.72, 1478.6]",
35583936#0,416998372,416998377,3,highway.residential,"[2462.36, 1470.07]",
35583936#1,416998377,cluster_6274370099_6570392639,3,highway.residential,"[2464.43, 1466.73]",
35583936#3,cluster_6274370099_6570392639,6570392651,3,highway.residential,"[2467.16, 1463.85]",
35583936#5,6570392604,6570392655,3,highway.residential,"[2473.36, 1461.16]",
35583968#0,416998507,8290073010,3,highway.residential,"[2477.39, 1460.84]",
35583968#1,8290073010,8290073011,3,highway.residential,"[2481.69, 1460.76]",
35583974#0,416998627,416999257,3,highway.residential,"[2598.32, 1474.69]",
35584002#0,8290073010,4325418852,3,highway.residential,"[2927.8, 1511.49]",
35584087#0,6570392654,416999257,3,highway.residential,"[3203.78, 1542.71]",
35584087#3,6274370113,8290073011,3,highway.residential,"[2959.61, 1662.36]",
35584785#0,8574575791,6569939807,3,highway.residential,"[3063.9, 1673.88]",
35584785#3,6569939807,417006105,3,highway.residential,"[2942.75, 1756.25]",
362237951,6570389884,cluster_6570389883_6570398985,3,highway.residential,"[2938.05, 1797.44]",center
362239122,cluster_2265599280_6572911077_6572911079,6572911078,3,highway.residential,"[2938.05, 1797.44]",center
362239132,6572911080,cluster_2265599280_6572911077_6572911079,3,highway.residential,"[2933.26, 1839.34]",center
362240145#0,3665845597,cluster_367871992_543376977_6278666057_7205752204_7205752205,3,highway.residential,"[2923.29, 1926.52]",center
363326171#0,272511020,cluster_6474887534_6474887535_8074157124,3,highway.residential,"[3346.28, 1771.03]",center
363326175#0,cluster_6474887534_6474887535_8074157124,6132207428,3,highway.residential,"[3280.89, 1763.53]",
363326175#6,6570524697,cluster_3675027604_6570524709,3,highway.residential,"[2452.63, 1532.26]",
363326177#0,3675027608,6570524708,3,highway.residential,"[2443.5, 1535.06]",
363326177#1,6570524708,3675027609,3,highway.residential,"[2438.71, 1535.32]",
363326180,6569939808,6569939807,3,highway.residential,"[2364.04, 1517.8]",
363326181#1,6569939801,6569939808,3,highway.residential,"[5167.82, 1835.31]",
363326182,6569939801,6569939800,3,highway.residential,"[4858.88, 2872.61]",
363326183#1,6474887540,6569939659,3,highway.residential,"[5590.93, 2998.75]",
363326183#2,6569939659,6569939703,3,highway.residential,"[5582.49, 2989.45]",
363326185#2,cluster_6568148781_6572827960_6572827962_6884069715_8285723079,6572827961,3,highway.residential,"[5577.2, 2986.02]",center
363498873#0,3676648878,cluster_3676648877_6274422665_6274422675_6274422676_8257585320,3,highway.residential,"[5573.45, 2984.29]",center
363498874#0,3676648880,cluster_6274422671_6274422672_6274422679_6274422680,3,highway.residential,"[5569.54, 2982.99]",center
368477111#1,3723347347,cluster_3723347349_6572827963,3,highway.residential,"[5565.5, 2982.14]",
369243433#0,367217323,cluster_367217679_367888060,3,highway.residential,"[5561.4, 2981.75]",
369243433#2,cluster_367217679_367888060,6574844036,3,highway.residential,"[5488.56, 2991.83]",
37099139#0,6572827974,cluster_442349892_442349893_6572827938,3,highway.residential,"[5392.18, 3004.48]",center
