id,from,to,priority,type,shape,spreadType
652088553#14,cluster_2265599280_6572911077_6572911079,2265599273,3,highway.residential,"3348.74,1748.13 3352.94,1707.70",
652088553#16,8074011445,cluster_286955932_286957948,3,highway.residential,"3360.95,1632.48 3364.84,1573.69",
652088553#18,cluster_286955932_286957948,2265599318,3,highway.residential,"3366.13,1560.71 3373.29,1474.11",
652088553#2,cluster_6570398987_6570398989,cluster_314796298_314796350_314796427,3,highway.residential,"3291.91,2253.67 3303.75,2143.87",
652088553#5,cluster_314796298_314796350_314796427,cluster_664906569_664906572_8279195451,3,highway.residential,"3307.77,2106.25 3314.75,2040.20",
652088553#8,cluster_664906569_664906572_8279195451,286958046,3,highway.residential,"3318.95,2004.37 3322.50,1969.10",
652088553#9,286958046,cluster_6570389883_6570398985,3,highway.residential,"3322.50,1969.10 3332.71,1892.21",
652096512#0,492502670,cluster_492502671_492502673_6276998190_6276998191,3,highway.residential,"2796.80,1407.13 2785.06,1495.18",center
652130052,8006886501,8006886495,10,highway.tertiary,"3911.20,2448.22 3914.15,2448.90 3917.52,2452.14 3921.48,2454.59 3925.89,2456.14 4060.45,2471.15 4180.65,2484.55 4331.62,2500.90 4335.01,2501.01 4338.38,2500.66 4342.76,2499.47 4345.81,2498.13 4351.23,2498.50",center
654745261,cluster_6135315457_6570524667_6570524668,6135315604,3,highway.residential,"5242.75,2769.11 4947.01,2735.01",
654745267,cluster_6135315479_6570524743,6135315478,3,highway.residential,"4666.47,2873.33 4617.12,2868.16",
654745275#0,8457379290,8457379289,3,highway.residential,"4494.35,3082.41 4497.02,3086.33 4500.24,3089.83 4503.91,3092.83 4508.00,3095.28 4513.91,3097.05",center
654745275#5,6570524768,8700679553,3,highway.residential,"4857.33,3138.29 4915.86,3143.52 4931.61,3145.94 4947.23,3149.10",center
654745275#6,8700679553,8700679539,3,highway.residential,"4947.23,3149.10 4962.68,3153.00 4980.27,3158.40 4997.54,3164.77 5014.42,3172.06 5068.32,3199.08",center
654745275#8,8700679548,8700679549,3,highway.residential,"5109.77,3218.28 5118.71,3221.51 5126.44,3222.86 5136.37,3222.28",center
654745276#0,6568148757,cluster_367884781_6570524756,3,highway.residential,"4576.18,3105.42 4586.95,3011.47 4598.32,2912.36",center
654745276#2,cluster_367884781_6570524756,cluster_6135315669_6570524733_6570524734_6570524737_6865759172,3,highway.residential,"4598.32,2912.36 4613.32,2781.58",center
654745276#4,cluster_6135315669_6570524733_6570524734_6570524737_6865759172,cluster_6570524706_6570524707,3,highway.residential,"4614.99,2766.96 4622.45,2701.95",center
654745276#5,cluster_6570524706_6570524707,cluster_3675027604_6570524709,3,highway.residential,"4622.45,2701.95 4630.39,2632.77",center
654745276#6,cluster_3675027604_6570524709,cluster_3675027611_6135315657,3,highway.residential,"4630.39,2632.77 4646.69,2490.67",center
654745276#7,cluster_3675027611_6135315657,cluster_415863653_6570524736,3,highway.residential,"4646.69,2490.67 4654.87,2419.35",center
