dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 05:02:00,h23623c1:1,"[2660.393790616921, 3441.7545263797306]","[31.32975047978762, 30.071441653198644]",60.518056208153396,699695785#0,699695785#0_0,2091.78,336.3,23
2022-12-04 05:02:00,h27441c1:5,"[3346.7852384988732, 1462.0209252740704]","[31.337167883674798, 30.053673327727033]",65.82958282280494,700673538,700673538_1,2593.93,264.56,23
2022-12-04 05:02:00,h34130c1:1,"[4520.798993291058, 2770.5162330066323]","[31.349146004281984, 30.065630369601216]",32.92915713252314,26253959#3,26253959#3_0,569.4,263.73,23
2022-12-04 05:02:00,h42708c1:3,"[5304.139571171264, 1625.4413832812306]","[31.357440495866648, 30.055402652626366]",56.67097279613116,700084841#3,700084841#3_0,2469.36,6.66,23
2022-12-04 05:02:00,h51047c1:1,"[5359.957516834345, 2788.1800912672174]","[31.357846164262128, 30.065898725184415]",57.40197722377526,772236620#17,772236620#17_0,77.11,346.02,23
2022-12-04 05:02:00,h51929c1:5,"[4273.184612048959, 3206.508994204643]","[31.34651264511693, 30.06953107262729]",68.91875513057705,939250965#0,939250965#0_0,3221.8,84.89,23
2022-12-04 05:02:00,h53035c1:3,"[2234.891131087095, 2701.5943608030793]","[31.325449897717586, 30.064708771493784]",53.00323393289308,906984715#1-AddedOffRampEdge,906984715#1-AddedOffRampEdge_1,4121.36,352.85,23
2022-12-04 05:02:00,randUni10811:1,"[2176.909020358654, 2547.336640656539]","[31.324872025716203, 30.06330960456127]",61.464623930573936,29982465,29982465_0,189.36,83.12,23
2022-12-04 05:02:00,randUni10937:1,"[4133.144396957797, 2240.8335436129487]","[31.345205211487965, 30.060801682699516]",63.893974043986105,669890462#13,669890462#13_0,1008.52,173.62,23
2022-12-04 05:02:00,randUni11127:1,"[4468.6251166667735, 2132.2775935935942]","[31.348700508480437, 30.05986617353065]",61.71719321596174,32691561#5,32691561#5_0,1081.15,263.57,23
2022-12-04 05:02:00,randUni12270:1,"[4227.938970250818, 1795.061702150386]","[31.34625511200509, 30.05679285436379]",61.442694067181414,37718131#0,37718131#0_0,1081.05,82.84,23
