dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 23:02:00,h17326c1:8,"[3471.118913396381, 1568.0668787489274]","[31.338441189054432, 30.054646239299696]",64.02961335045205,:278875042_0,:278875042_0_0,702.5,12.09,50
2022-12-04 23:02:00,h17613c1:6,"[4205.0041302265545, 1599.2888942394736]","[31.346046640000047, 30.055023842901495]",30.049853246562034,652036314,652036314_0,3324.52,174.79,50
2022-12-04 23:02:00,h20283c1:8,"[5359.69754018644, 2275.7295796719945]","[31.357919792603145, 30.06127597619085]",97.24139864067429,41336031#10,41336031#10_1,2609.87,186.47,50
2022-12-04 23:02:00,h21226c1:6,"[4038.1968669726048, 2459.3803357415923]","[31.344187758132144, 30.06276073886696]",75.05494278265668,26195270#7-AddedOffRampEdge,26195270#7-AddedOffRampEdge_1,2110.3,83.54,50
2022-12-04 23:02:00,h23384c1:1,"[2305.352202704424, 2089.866825476978]","[31.326273482474686, 30.059199891923246]",21.07336144732696,894550195#1,894550195#1_0,984.84,357.84,50
2022-12-04 23:02:00,h25642c1:1,"[2265.0444482498515, 2461.510350766714]","[31.325799062965064, 30.06254703949503]",16.970579108128003,906984715#1,906984715#1_0,391.37,346.19,50
2022-12-04 23:02:00,h25785c1:6,"[3742.159817765275, 1517.689482760356]","[31.341259360550158, 30.054227288399378]",68.91826109961352,701104139#6-AddedOffRampEdge,701104139#6-AddedOffRampEdge_3,371.67,266.83,50
2022-12-04 23:02:00,h26504c1:5,"[2710.229782921665, 1397.272252017002]","[31.33057692480121, 30.053005600804404]",105.52179978599351,29982808#5,29982808#5_2,1628.01,264.55,50
2022-12-04 23:02:00,h2750c1:6,"[4103.671283518769, 1657.499986722177]","[31.34498711357164, 30.05553572750091]",37.93332818767056,32690631#8,32690631#8_0,32.58,173.69,50
2022-12-04 23:02:00,h27537c1:3,"[2154.5658302941742, 2491.827657945526]","[31.324648751292663, 30.062805924342758]",50.47058688463085,29982444#4,29982444#4_0,443.09,353.48,50
2022-12-04 23:02:00,h28096c1:5,"[2965.990268732652, 1407.1353714292259]","[31.33322752265048, 30.053128221297364]",104.16703709394808,564555056#0-AddedOffRampEdge,564555056#0-AddedOffRampEdge_1,1049.61,84.49,50
2022-12-04 23:02:00,h28641c1:3,"[5287.658025191217, 2997.056265184881]","[31.357065224355043, 30.067773584710324]",95.95347220818118,772236620#19,772236620#19_0,3640.29,335.84,50
2022-12-04 23:02:00,h34294c1:8,"[4086.3209094911967, 1814.4295196619216]","[31.344783642114322, 30.056949085170462]",51.26425981019079,32690631#6,32690631#6_0,86.87,173.69,50
2022-12-04 23:02:00,h39433c1:6,"[2726.8681244437034, 3063.2851554913614]","[31.33049723147518, 30.068036365783104]",68.36247199871373,:270749322_0,:270749322_0_0,2954.71,264.44,50
2022-12-04 23:02:00,h3952c1:3,"[2392.522005088439, 2640.8902096700185]","[31.32709383724724, 30.064181995385052]",42.12898925174437,28616951#2,28616951#2_0,5250.72,353.72,50
2022-12-04 23:02:00,h39773c1:2,"[3444.2985204525953, 1659.6033868578957]","[31.33814927919015, 30.0554684498177]",81.37109351586999,700074885#21,700074885#21_0,695.93,173.45,50
2022-12-04 23:02:00,h41100c1:5,"[4880.830900816918, 2935.546754563975]","[31.352855179510374, 30.067165914646832]",25.67427448193617,32691754#1,32691754#1_0,454.92,353.93,50
2022-12-04 23:02:00,h42153c1:6,"[4219.03915536868, 1613.4146615035438]","[31.346190060924904, 30.05515309892942]",33.578089076564446,669890458#1-AddedOnRampEdge,669890458#1-AddedOnRampEdge_1,1974.65,354.15,50
2022-12-04 23:02:00,h42461c1:8,"[2459.5544270992073, 1482.9755721972376]","[31.327964578956, 30.053745672031]",20.79873128885328,-26206348#0,-26206348#0_0,516.6,173.84,50
2022-12-04 23:02:00,h43157c1:1,"[3410.133441542468, 2424.4309027500417]","[31.337679708296385, 30.06236326435254]",67.05632055390834,:9134495896_1,:9134495896_1_0,1648.82,286.06,50
2022-12-04 23:02:00,h43157c1:3,"[3772.6979595119187, 3158.444093021794]","[31.34132922947191, 30.06903208967987]",16.745895270976977,939250966#10-AddedOnRampEdge,939250966#10-AddedOnRampEdge_2,3159.67,115.83,50
2022-12-04 23:02:00,h47233c1:8,"[2333.947776533219, 1794.7332832244479]","[31.32661480393891, 30.056541365319642]",72.40960233456119,859375457#1,859375457#1_0,5429.12,353.51,50
2022-12-04 23:02:00,h486c1:3,"[5378.152565383912, 2452.578369921328]","[31.358084844101867, 30.062873685459973]",32.88320972582325,41336031#8,41336031#8_0,26.71,181.61,50
2022-12-04 23:02:00,h48908c1:3,"[3394.0116921383183, 2648.2595704692803]","[31.337478768342507, 30.06438024366576]",48.63097661418674,32659864#2,32659864#2_0,556.36,264.17,50
2022-12-04 23:02:00,h56070c1:8,"[3403.2844957659736, 2026.2472825250193]","[31.337668710990577, 30.05877046508856]",0.0,700074885#16,700074885#16_0,0.0,173.57,50
2022-12-04 23:02:00,h56381c1:5,"[3800.2739301224915, 3161.3220694467464]","[31.34161479076098, 30.069061659964007]",39.2559938405199,939250966#10-AddedOnRampEdge,939250966#10-AddedOnRampEdge_2,2789.44,84.03,50
2022-12-04 23:02:00,h56584c1:6,"[2613.8214399583785, 1394.0284850759829]","[31.329577718463128, 30.052963642308598]",95.16792771432664,:4325416158_0,:4325416158_0_1,1618.63,264.39,50
2022-12-04 23:02:00,h56864c1:3,"[2339.2813905120065, 1693.5218824616059]","[31.326685468429286, 30.055629074559768]",107.48459472217843,859375452,859375452_0,2968.53,353.93,50
2022-12-04 23:02:00,h57151c1:5,"[5289.493088546117, 1472.3505041322303]","[31.357311416060963, 30.054019750801054]",59.975415785859106,700084841#3,700084841#3_1,234.74,6.66,50
2022-12-04 23:02:00,h58173c1:8,"[3773.135901683772, 1514.195398730277]","[31.341581095447953, 30.054199821327384]",82.24341913159502,701104139#6-AddedOffRampEdge,701104139#6-AddedOffRampEdge_1,173.67,263.94,50
2022-12-04 23:02:00,h6357c1:7,"[4172.14394417743, 3297.558446246308]","[31.345451063565026, 30.07033921853723]",18.480727938873645,699921246#1,699921246#1_0,1978.02,84.7,50
2022-12-04 23:02:00,h6538c1:3,"[2683.5137119616775, 3062.03930971786]","[31.330047792576128, 30.06801941550763]",44.424350038155815,52244427#10,52244427#10_1,697.98,264.1,50
2022-12-04 23:02:00,h7752c1:3,"[2579.6504237564864, 2334.482790826792]","[31.329080900583772, 30.061442678133012]",35.96652869124579,:cluster_286955226_6568207661_13,:cluster_286955226_6568207661_13_0,1066.13,149.68,50
2022-12-04 23:02:00,h7944c1:3,"[4003.8067558471957, 2472.3860289992717]","[31.34382916190406, 30.06287356695599]",86.16099938931471,858935315,858935315_0,1403.04,263.89,50
2022-12-04 23:02:00,h8641c1:3,"[3227.5276297713717, 3126.606063685699]","[31.33568000892411, 30.068673414597434]",62.242724156421154,52244427#4,52244427#4_1,328.75,264.95,50
2022-12-04 23:02:00,randUni10446:1,"[2657.6915732657944, 2331.5735545726275]","[31.329890650328547, 30.061426719523826]",38.228612878164064,-650705746,-650705746_0,2756.3,297.02,50
2022-12-04 23:02:00,randUni10504:1,"[4461.832736523329, 3213.7188881703178]","[31.34846807711639, 30.06962071042988]",28.459777309514074,:8707502428_1,:8707502428_1_0,1159.22,144.67,50
2022-12-04 23:02:00,randUni11683:1,"[4736.650347289073, 3286.5928701344615]","[31.35130737866135, 30.07031387287205]",65.19393281742268,939250971,939250971_0,1825.83,258.46,50
2022-12-04 23:02:00,randUni11956:1,"[3819.71742252436, 1525.5737749037041]","[31.342062416661403, 30.054308554859354]",22.24187455250162,701104139#6-AddedOffRampEdge,701104139#6-AddedOffRampEdge_3,1505.46,263.94,50
2022-12-04 23:02:00,randUni2592:1,"[3553.4810577958324, 1492.7945882536833]","[31.339306587528014, 30.053978019153234]",100.9536176959313,888224697#0-AddedOffRampEdge,888224697#0-AddedOffRampEdge_1,1892.32,262.67,50
2022-12-04 23:02:00,randUni3937:1,"[2451.476676242056, 1366.6198241023183]","[31.327898456051667, 30.052694998726224]",62.27024081869898,883292352#1-AddedOffRampEdge,883292352#1-AddedOffRampEdge_0,4835.02,262.59,50
2022-12-04 23:02:00,randUni3995:1,"[3393.1322950445906, 2113.079487043732]","[31.337550341643805, 30.059552422521307]",87.99875418050493,700074885#15,700074885#15_0,3804.87,173.3,50
2022-12-04 23:02:00,randUni455:1,"[4336.491172482656, 2507.8625580591756]","[31.347273955184537, 30.063237015254195]",35.89382454231897,858935315,858935315_0,1408.8,250.75,50
2022-12-04 23:02:00,randUni5600:1,"[4077.7919213303544, 2480.3017475675456]","[31.344595237589942, 30.06295463726348]",88.7627818093333,858935315,858935315_0,3220.5,263.89,50
2022-12-04 23:02:00,randUni5818:1,"[4591.831756361842, 3266.503076430651]","[31.349808426255017, 30.070113798404847]",60.202966802793796,939250971,939250971_0,1940.49,265.53,50
2022-12-04 23:02:00,randUni5931:1,"[3014.214523367262, 3100.038444713201]","[31.333471741331323, 30.06840572447986]",24.638002629059713,52244427#6,52244427#6_1,4294.01,259.75,50
2022-12-04 23:02:00,randUni6885:1,"[2900.015108341398, 3080.9785915628077]","[31.332290259414258, 30.0682187692761]",82.750970471719,:52244427#7-AddedOnRampNode_0,:52244427#7-AddedOnRampNode_0_0,3133.42,264.12,50
2022-12-04 23:02:00,randUni7881:1,"[3263.7091535636036, 2100.0976251013194]","[31.33621016589156, 30.059418337280096]",40.11928196061275,28641545#0,28641545#0_0,4649.77,264.11,50
2022-12-04 23:02:00,randUni9711:1,"[3482.1142108414397, 1497.3121214249454]","[31.338565864396767, 30.054009420785267]",51.262949683983756,888224697#1,888224697#1_0,693.56,307.29,50
2022-12-04 23:02:00,randUni9886:1,"[3756.664570221818, 3159.4989803375274]","[31.341162786207672, 30.069039506951842]",31.678871865472562,819202035,819202035_1,2461.19,95.65,50
2022-12-04 23:03:00,carIn3558:3,"[5805.0499691253945, 1633.3152911992527]","[31.36263367780467, 30.055538475810195]",37.29836034069769,26203057,26203057_0,31.52,263.78,44
2022-12-04 23:03:00,h13594c1:3,"[5106.206833616865, 1247.821547554781]","[31.35544427836117, 30.051970557827904]",39.181413035892064,-215629038#1,-215629038#1_0,92.67,354.38,44
2022-12-04 23:03:00,h13757c1:6,"[4378.733263618998, 2815.497536528876]","[31.347665924178607, 30.066017622408516]",44.3723320552284,-37796191#2,-37796191#2_0,51.93,83.35,44
2022-12-04 23:03:00,h17326c1:8,"[3555.88814910594, 2508.216621448404]","[31.33917862665677, 30.06313817777974]",49.087762376804676,32226001#1,32226001#1_0,1784.35,83.33,44
2022-12-04 23:03:00,h20283c1:8,"[5156.990397441158, 1223.3593077367775]","[31.355974521271442, 30.051756474220788]",47.661377842160285,26195753#4,26195753#4_0,3757.19,186.75,44
2022-12-04 23:03:00,h21226c1:6,"[4205.512926186157, 1455.3462449358476]","[31.346073501189075, 30.05372543685328]",29.113991310429835,-215628990#3,-215628990#3_0,3201.29,263.99,44
2022-12-04 23:03:00,h23384c1:1,"[2713.9077381848497, 3047.1743222101363]","[31.330365259768676, 30.06788932788561]",91.43881760422785,885610134#4,885610134#4_0,2378.54,85.61,44
2022-12-04 23:03:00,h25642c1:1,"[1936.7670197259424, 2818.3100369713015]","[31.322340412449645, 30.065722197970732]",0.49430953928004034,-26520995,-26520995_0,1293.55,264.02,44
2022-12-04 23:03:00,h25785c1:6,"[3326.9128036597144, 2867.976160098024]","[31.33674976274253, 30.066353439169426]",113.1469447702188,28582639#11,28582639#11_0,2017.41,352.63,44
2022-12-04 23:03:00,h26504c1:5,"[2382.2460413261565, 1300.0560071103532]","[31.32719067316921, 30.05208541613645]",42.177379900910395,28664899-AddedOnRampEdge,28664899-AddedOnRampEdge_0,2439.65,170.43,44
2022-12-04 23:03:00,h2750c1:6,"[3810.4894052734485, 1495.0521307198228]","[31.34197131393676, 30.054032020184895]",92.12090829586054,850927453#2-AddedOnRampEdge,850927453#2-AddedOnRampEdge_2,1043.97,83.56,44
2022-12-04 23:03:00,h27537c1:3,"[2336.8537140200815, 1568.5731793402865]","[31.32667925125794, 30.05450163283663]",54.87390797462048,894550196#0,894550196#0_0,1570.13,172.88,44
2022-12-04 23:03:00,h28096c1:5,"[3796.0799300511285, 1410.3977462407802]","[31.34183462032944, 30.053266490226218]",48.28342084631392,-215628990#1,-215628990#1_0,2078.09,263.85,44
2022-12-04 23:03:00,h30633c1:5,"[2825.2027395195605, 2347.099917366914]","[31.331625440836646, 30.061588836646788]",88.11286451092786,765656381#3,765656381#3_0,554.77,263.83,44
2022-12-04 23:03:00,h34294c1:8,"[4205.311396891046, 1778.9617976273767]","[31.34602288114751, 30.05664466915529]",82.80007058739076,669890458#1,669890458#1_1,878.42,354.16,44
2022-12-04 23:03:00,h3593c1:7,"[1806.6525815175871, 2807.842576745684]","[31.320992630137223, 30.06561054525034]",27.62678607514429,26520995,26520995_0,286.69,83.92,44
2022-12-04 23:03:00,h3593c1:8,"[2291.5099358442935, 3011.909643668238]","[31.325989949161457, 30.067515497299233]",98.830921061459,52244427#10-AddedOffRampEdge,52244427#10-AddedOffRampEdge_0,1003.44,264.11,44
2022-12-04 23:03:00,h37454c1:3,"[2609.1374817524143, 3528.3813797927523]","[31.329205752009234, 30.0722163278255]",21.21937698132114,770590111#2,770590111#2_0,185.36,136.23,44
2022-12-04 23:03:00,h39773c1:2,"[3818.350288194872, 1600.0221772035572]","[31.34203704874747, 30.05497995602977]",15.581347161015886,:cluster_367871079_6113839793_4,:cluster_367871079_6113839793_4_0,1316.19,89.69,44
2022-12-04 23:03:00,h42461c1:8,"[2676.7278522651054, 1373.5637165179178]","[31.330233118547746, 30.05278732189529]",37.18070664873975,:6572227434_5,:6572227434_5_0,1229.97,82.18,44
2022-12-04 23:03:00,h43157c1:1,"[3355.1368486503006, 3408.920530123547]","[31.336960860053022, 30.071236840169842]",54.384438588838954,28886503#6,28886503#6_0,2898.01,8.02,44
2022-12-04 23:03:00,h43157c1:3,"[4462.709813155651, 2911.8953863348192]","[31.348522392425064, 30.06689814906513]",12.804905778887228,:6280342312_5,:6280342312_5_0,4181.53,178.16,44
2022-12-04 23:03:00,h486c1:3,"[4632.655059675759, 1610.5794004723427]","[31.350479571389908, 30.05518140614605]",100.67884111285129,26203214#4,26203214#4_0,1457.19,264.16,44
2022-12-04 23:03:00,h48908c1:3,"[4270.452611404293, 3206.264801609603]","[31.346484347570915, 30.069528513370322]",102.39459924684506,939250965#0,939250965#0_0,2025.92,84.89,44
2022-12-04 23:03:00,h53781c1:6,"[5186.641689549885, 1501.470148321244]","[31.356240542734017, 30.054269103607446]",35.54622059796551,-26195753#1,-26195753#1_0,88.74,6.74,44
2022-12-04 23:03:00,h56070c1:8,"[3415.393212169992, 2106.952180447955]","[31.337782113924806, 30.0595000689544]",103.11961196360821,28582639#7,28582639#7_1,1196.05,354.07,44
2022-12-04 23:03:00,h56381c1:5,"[3969.400579023725, 3206.0558044912864]","[31.343362105575792, 30.06948731086657]",73.10355993356727,819585395#10,819585395#10_2,3912.94,263.76,44
2022-12-04 23:03:00,h56864c1:3,"[2226.052661436309, 2617.7358540244754]","[31.32537097498652, 30.06395114521453]",101.06801142500906,37789102#7,37789102#7_0,4615.37,174.15,44
2022-12-04 23:03:00,h57151c1:5,"[5348.945717818444, 2738.752117688316]","[31.357739325092407, 30.06545141852459]",42.0149197669427,41336031#6,41336031#6_0,1608.53,168.13,44
2022-12-04 23:03:00,h57368c1:1,"[5332.32548666378, 2034.9106319441632]","[31.3576718007015, 30.059100048797312]",96.58595946212122,41336031#12,41336031#12_1,471.62,186.77,44
2022-12-04 23:03:00,h58173c1:8,"[2345.888075681158, 1631.3562968169015]","[31.3267634088179, 30.055069171133223]",115.292765266408,859375452,859375452_0,1836.73,343.96,44
2022-12-04 23:03:00,h60364c1:8,"[4209.685000218101, 2103.0984060044184]","[31.34601962064573, 30.059569197342537]",55.143741561289495,32691561#7,32691561#7_0,141.83,263.57,44
2022-12-04 23:03:00,h6538c1:3,"[2964.433583738982, 3068.90484231231]","[31.332960169932928, 30.068118330991148]",29.129089071174057,819202035,819202035_1,1940.53,93.93,44
2022-12-04 23:03:00,h7944c1:3,"[2675.6819727764732, 2328.695416475033]","[31.33007765182873, 30.061403126924475]",37.699085762705344,:8771565273_0,:8771565273_0_0,2744.0,253.02,44
2022-12-04 23:03:00,h8641c1:3,"[2543.6736405118227, 3030.174948585379]","[31.32860234671409, 30.067713543532918]",104.06085275931444,885610134#4,885610134#4_0,1695.89,82.52,44
