dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 03:02:00,randUni10490:1,"[3799.275524808805, 3215.045763335144]","[31.34159635336232, 30.069546155789208]",22.15979784528494,37789107#1-AddedOnRampEdge,37789107#1-AddedOnRampEdge_1,418.97,0.86,7
2022-12-04 03:02:00,randUni11416:1,"[2609.832313380237, 3038.628536947469]","[31.329287192962628, 30.067798523737213]",86.84499637027214,885610134#4,885610134#4_0,1462.91,83.56,7
2022-12-04 03:02:00,randUni11629:1,"[4548.68876728565, 2603.3266411408295]","[31.34946027473543, 30.064125824221417]",81.34818190134501,37711813#3,37711813#3_0,595.08,353.61,7
2022-12-04 03:02:00,randUni139:1,"[4072.5115095147353, 2576.7743154841387]","[31.344525991651043, 30.06382420186811]",28.91117343773592,25584530#0,25584530#0_0,4095.99,264.7,7
2022-12-04 03:02:00,randUni4043:1,"[3118.7538178143554, 2467.615919708258]","[31.334651457872294, 30.062714576393205]",14.327226004612585,-26253870#1,-26253870#1_0,264.94,173.66,7
2022-12-04 03:02:00,randUni5201:1,"[2392.810418188168, 2332.9863993566396]","[31.327143544879487, 30.06140453669577]",38.431319852145926,-182371955#2,-182371955#2_0,438.34,83.56,7
2022-12-04 03:02:00,randUni8961:1,"[2656.5068222498626, 1622.5153647887246]","[31.329985745305475, 30.055030374247167]",24.00393232442925,:2265599265_1,:2265599265_1_0,4093.67,356.42,7
2022-12-04 03:03:00,randUni10490:1,"[4100.8583477646725, 3372.25987197718]","[31.34470052109213, 30.0710037710153]",41.34414579190788,699921245,699921245_0,1177.52,85.36,10
2022-12-04 03:03:00,randUni11416:1,"[3792.885330706346, 3160.5493855988134]","[31.341538278784952, 30.06905372291432]",33.1062890201598,939250966#10-AddedOnRampEdge,939250966#10-AddedOnRampEdge_2,2655.43,84.04,10
2022-12-04 03:03:00,randUni11629:1,"[4975.737745337063, 3376.5767709241927]","[31.353773594365588, 30.07115667901671]",21.871240535186182,:270749306_3,:270749306_3_0,1800.2,227.13,10
2022-12-04 03:03:00,randUni1834:1,"[4539.008471677968, 2772.601486295281]","[31.349334539410176, 30.06565155184273]",24.765767002279794,26253959#2,26253959#2_0,509.64,263.11,10
2022-12-04 03:03:00,randUni3097:1,"[3683.2121084434784, 1502.2472273415772]","[31.340650419935272, 30.05408027440872]",82.76808295280662,700673538,700673538_1,288.09,262.67,10
2022-12-04 03:03:00,randUni4043:1,"[2864.095910806115, 2326.4325150709296]","[31.332031901631115, 30.061407520842174]",74.18837358723947,765656384#1,765656384#1_0,1042.88,83.82,10
2022-12-04 03:03:00,randUni5201:1,"[3134.9920795205203, 2364.268666983701]","[31.334835463669975, 30.061784445148355]",76.67062332495844,858935302,858935302_0,1230.12,83.71,10
2022-12-04 03:03:00,randUni6655:1,"[5088.732745675993, 1740.9827256561273]","[31.355189539414262, 30.056417001740616]",50.934065956891324,25746572#6,25746572#6_0,789.86,83.13,10
2022-12-04 03:03:00,randUni8217:1,"[5296.3123376091735, 1558.405381068003]","[31.357369313092715, 30.054796919308536]",90.43029455139893,700084841#3,700084841#3_0,317.68,6.66,10
2022-12-04 03:03:00,randUni8504:1,"[5343.158054489092, 2772.678751188696]","[31.357674248007942, 30.065756713953522]",28.86681999998776,:8318643218_0,:8318643218_0_0,351.61,211.08,10
2022-12-04 03:04:00,randUni10026:1,"[5175.940593729433, 1410.9647412222641]","[31.35614306475531, 30.053451284217854]",51.80452431462657,-26195753#3,-26195753#3_0,390.98,6.74,13
2022-12-04 03:04:00,randUni11416:1,"[4043.3044950727217, 3210.460761571468]","[31.34412791618756, 30.069536705471787]",79.64989662163741,:2509945673_0,:2509945673_0_0,3712.38,260.1,13
2022-12-04 03:04:00,randUni11629:1,"[4075.6074269989726, 3370.2089170169024]","[31.34443894270374, 30.07098197129433]",34.66566376881503,699921245,699921245_0,2938.73,85.36,13
