dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 15:02:00,carIn2306:3,"[4035.148553737377, 3133.8226702473994]","[31.344054842449857, 30.068844308030453]",54.238518413973345,669890462#1,669890462#1_0,797.5,173.44,100
2022-12-04 15:02:00,carIn2648:1,"[5210.17696457656, 3138.926139015345]","[31.356240506206703, 30.06904331626984]",83.38259593440145,772236620#21,772236620#21_0,2571.76,328.23,100
2022-12-04 15:02:00,carIn3131:1,"[2656.840219110837, 2498.720182966407]","[31.329856503547948, 30.062934383154385]",39.27453395914893,182371966#5,182371966#5_0,2883.49,84.42,100
2022-12-04 15:02:00,carIn3936:1,"[4487.159402349689, 2985.969961676755]","[31.348764862525044, 30.06756954347237]",72.30908579778854,885948880#2,885948880#2_0,1566.63,172.92,100
2022-12-04 15:02:00,carIn7:3,"[2430.8554287400257, 3017.1476710759257]","[31.32743429336054, 30.06758114527159]",82.21032142260431,885610134#4,885610134#4_0,1993.25,83.59,100
2022-12-04 15:02:00,h11533c1:3,"[2329.2790455353456, 2059.341435287366]","[31.32652623711438, 30.05892769138904]",51.82876728688476,894550195#0,894550195#0_0,1122.19,293.52,100
2022-12-04 15:02:00,h12016c1:5,"[3053.94693817444, 1441.543068530467]","[31.334134387658505, 30.053450162515556]",94.78191170416868,29982808#3-AddedOnRampEdge,29982808#3-AddedOnRampEdge_3,4900.02,262.27,100
2022-12-04 15:02:00,h1292c1:3,"[3733.7788028583614, 2372.9122474234778]","[31.341043803404546, 30.061940929441935]",36.68466065955534,858913992#0,858913992#0_0,2962.64,174.84,100
2022-12-04 15:02:00,h13017c1:3,"[4158.698217982537, 2961.2631517825134]","[31.345362095017233, 30.06730383084863]",35.41649943480939,-687586414#2,-687586414#2_0,37.75,353.25,100
2022-12-04 15:02:00,h13675c1:3,"[2878.7384625831796, 1397.761761663272]","[31.332324187814745, 30.053032191763926]",107.17809692212704,564555056#0,564555056#0_0,774.45,83.81,100
2022-12-04 15:02:00,h14326c1:1,"[2610.427169420887, 1396.0440444172523]","[31.329542216657153, 30.05298137686037]",17.24540257381239,:4325416158_3,:4325416158_3_0,860.1,174.98,100
2022-12-04 15:02:00,h15752c1:1,"[3299.95735602592, 3084.3472931160545]","[31.33643756053753, 30.06830172065925]",89.09877672220635,28582639#13,28582639#13_0,279.78,2.0,100
2022-12-04 15:02:00,h16718c1:5,"[3987.1588199836624, 1532.9346894439907]","[31.343797614128846, 30.054396839925335]",7.9274188085831705,700675428,700675428_0,2.2,266.02,100
2022-12-04 15:02:00,h18066c1:3,"[5201.23786036909, 1352.312935876461]","[31.356414126939594, 30.052925476941812]",44.840331536012485,658893839,658893839_0,799.37,273.88,100
2022-12-04 15:02:00,h20478c1:3,"[5271.838436548059, 1763.0853898865187]","[31.357085035166342, 30.05664012782025]",52.66130335416838,25746572#9,25746572#9_0,1618.81,83.72,100
2022-12-04 15:02:00,h20874c1:1,"[5387.834914453765, 2322.0598236259766]","[31.35820469048109, 30.061697557064875]",105.6182475748087,772236620#9,772236620#9_1,1915.32,6.1,100
2022-12-04 15:02:00,h22062c1:5,"[2507.3978333613018, 1380.3449873062382]","[31.32847624319598, 30.05282618245468]",81.6464126720915,883292352#1-AddedOffRampEdge,883292352#1-AddedOffRampEdge_2,3006.65,262.6,100
2022-12-04 15:02:00,h22132c1:3,"[5397.3539084426475, 1628.9536827402096]","[31.35840658774537, 30.055446409461272]",43.66574018082936,669978304#0,669978304#0_0,2079.59,184.72,100
2022-12-04 15:02:00,h22703c1:3,"[5152.7200865671675, 2209.377127295038]","[31.355783245460255, 30.060650594357206]",58.59645669400329,32691561#2,32691561#2_0,2461.23,263.56,100
2022-12-04 15:02:00,h22785c1:3,"[4748.300637510135, 1622.408277397953]","[31.35167701904535, 30.05530315253417]",100.3675782743437,26203214#4,26203214#4_0,371.34,264.16,100
2022-12-04 15:02:00,h23050c1:3,"[2276.4590593873736, 2261.7814805920016]","[31.325947760766514, 30.060746860880315]",117.14645684821569,859375452,859375452_0,1188.37,353.0,100
2022-12-04 15:02:00,h23116c1:3,"[2314.8403353117997, 1974.7508097198486]","[31.32638934552815, 30.058162721469248]",52.70198510116278,859375457#4,859375457#4_0,1051.49,352.2,100
2022-12-04 15:02:00,h24301c1:3,"[3431.1867494289336, 1773.8499577561083]","[31.337996097376873, 30.05649731777151]",92.32905071263069,:6572911080_0,:6572911080_0_0,1818.34,173.46,100
2022-12-04 15:02:00,h24551c1:5,"[4335.840181034361, 2711.422572750039]","[31.34723668884677, 30.065073195247432]",49.14107273522764,26264286#3,26264286#3_0,697.29,263.64,100
2022-12-04 15:02:00,h2465c1:3,"[5050.997994742563, 3385.929380849097]","[31.354552754487024, 30.071250821394333]",40.221050478719164,772236620#24,772236620#24_0,3456.69,308.08,100
2022-12-04 15:02:00,h2486c1:3,"[4985.371059224516, 2672.84443176673]","[31.35397859066597, 30.064809716226588]",51.69322591067291,-363326175#1,-363326175#1_0,386.84,83.81,100
2022-12-04 15:02:00,h25847c1:5,"[2885.6937922821294, 2615.117327965461]","[31.33221221144083, 30.064014498070435]",36.486413021933615,-28616968#2,-28616968#2_0,629.26,173.53,100
2022-12-04 15:02:00,h2631c1:5,"[2592.059303290941, 1361.3014603135762]","[31.329357014992123, 30.05266555480074]",91.80995007378009,888807595#4,888807595#4_0,604.76,81.15,100
2022-12-04 15:02:00,h26542c1:5,"[3319.144272970196, 1449.809706414703]","[31.33688310149089, 30.053559548332892]",61.087647722912955,850927448,850927448_0,75.72,84.48,100
2022-12-04 15:02:00,h26594c1:3,"[3095.5369119079587, 2110.980476992601]","[31.334464558358857, 30.059494424595627]",31.272570264348737,-28826000#5,-28826000#5_0,53.72,176.21,100
2022-12-04 15:02:00,h27042c1:3,"[4162.155336981276, 3215.2985797923798]","[31.345359817168887, 30.069595869699924]",107.20747415587324,939250978#1,939250978#1_0,2234.36,277.1,100
2022-12-04 15:02:00,h27649c1:3,"[2247.794380372276, 2353.036772926756]","[31.325636645495965, 30.06156625793832]",45.53961960014854,:8010531594_1,:8010531594_1_0,1178.74,176.35,100
