dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-05 01:02:00,randUni10289:1,"[4120.670684687243, 2557.162021071]","[31.345028375874413, 30.06365357341219]",37.211864094240596,669890458#10-AddedOnRampEdge,669890458#10-AddedOnRampEdge_2,31.59,354.87,13
2022-12-05 01:02:00,randUni12155:1,"[2581.4025358749063, 1717.404218809471]","[31.32919256769615, 30.055876441487506]",37.91163095334059,26206377#2,26206377#2_0,4976.05,354.21,13
2022-12-05 01:02:00,randUni1484:1,"[3403.7916985566985, 2218.738422818998]","[31.337644952667638, 30.06050693962614]",54.3323233129733,28582639#7,28582639#7_1,758.03,354.07,13
2022-12-05 01:02:00,randUni2277:1,"[4477.22000032488, 1417.118484489319]","[31.34889671156955, 30.053416005938438]",5.716428971316943,764081725,764081725_0,4372.47,263.77,13
2022-12-05 01:02:00,randUni706:1,"[5299.662201131774, 1391.067379276382]","[31.357428971170915, 30.05328782826086]",45.462304692449884,26193439#5,26193439#5_0,914.73,277.36,13
2022-12-05 01:02:00,randUni7699:1,"[4089.1849883516034, 2809.486731778077]","[31.34466396526173, 30.065925618018337]",36.23772434757818,669890458#14,669890458#14_1,99.19,353.15,13
2022-12-05 01:02:00,randUni7937:1,"[4102.898438438172, 2532.2578321503925]","[31.34484780572003, 30.063426598477797]",58.82671112189848,669890462#9,669890462#9_0,627.76,173.8,13
2022-12-05 01:02:00,randUni8076:1,"[3385.5538377036355, 1751.5585460486163]","[31.337526252824993, 30.056290250098073]",8.636283876691014,362239122,362239122_0,2.4,84.69,13
2022-12-05 01:02:00,randUni8426:1,"[4728.063750804818, 1895.587367854973]","[31.35142633215015, 30.057764810875252]",50.621412106546835,-25746577#1,-25746577#1_0,2400.36,353.74,13
2022-12-05 01:02:00,randUni8885:1,"[4426.457830103354, 2527.1500006085707]","[31.348204071136834, 30.06342273002716]",65.08548605214257,858915972#1,858915972#1_0,944.39,263.67,13
2022-12-05 01:02:00,randUni9377:1,"[4387.067479890045, 2522.480252065236]","[31.347796269749004, 30.06337547150061]",57.925836850011706,:8285673790_0,:8285673790_0_0,2017.51,260.26,13
2022-12-05 01:02:00,randUni9595:1,"[3142.238244944713, 2365.067246342044]","[31.334910488348875, 30.061792600762796]",51.60743497068838,858935302,858935302_0,1153.35,83.71,13
2022-12-05 01:02:00,randUni9618:1,"[3633.875096430752, 3163.570535700033]","[31.33988870672467, 30.069060156700957]",54.38345762875599,940974902#0-AddedOffRampEdge,940974902#0-AddedOffRampEdge_0,522.99,249.95,13
2022-12-05 01:03:00,randUni1484:1,"[4145.860930343055, 2480.6716844142843]","[31.345301093484892, 30.06296686225742]",54.24032691429339,652130052,652130052_0,1673.55,83.64,13
2022-12-05 01:03:00,randUni1690:1,"[2435.8900675429036, 2041.81281060611]","[31.32763445298622, 30.05878364036084]",59.735452787628844,178336809#7-AddedOnRampEdge,178336809#7-AddedOnRampEdge_1,572.5,84.29,13
2022-12-05 01:03:00,randUni1993:1,"[4497.542243377129, 2880.146661970953]","[31.34888839320704, 30.066616289851837]",50.151916981803296,885948880#4,885948880#4_0,324.28,174.74,13
2022-12-05 01:03:00,randUni2800:1,"[3857.741211319331, 1500.3956898003344]","[31.34246049235135, 30.054086401351434]",32.30416264651494,850927453#3,850927453#3_0,189.71,83.57,13
2022-12-05 01:03:00,randUni706:1,"[5195.287737722958, 1577.4732866501604]","[31.35631887290938, 30.05495583428058]",65.96508031611602,-26195753#0,-26195753#0_0,1800.95,5.14,13
2022-12-05 01:03:00,randUni7300:1,"[4601.006222853179, 2780.092217157068]","[31.349976386510388, 30.06572719674763]",36.15999479541116,26253959#2,26253959#2_0,619.3,263.11,13
2022-12-05 01:03:00,randUni7699:1,"[4260.233573044734, 3233.717891026571]","[31.34637424517638, 30.069774827243013]",57.00852788331599,819585395#6,819585395#6_0,1045.11,263.46,13
2022-12-05 01:03:00,randUni7937:1,"[4218.156018654096, 1599.052212837637]","[31.346183056693555, 30.055023423500877]",15.821947162774832,652036314,652036314_0,1580.93,68.03,13
2022-12-05 01:03:00,randUni8076:1,"[3753.2633320974705, 1656.3371235528216]","[31.341353648961395, 30.055479445344993]",57.821954965084984,-32690576#1,-32690576#1_0,763.69,353.18,13
2022-12-05 01:03:00,randUni8426:1,"[4579.469737919308, 2327.9150293873886]","[31.349820714638188, 30.06164540798941]",52.961902603675874,:6570524684_0,:6570524684_0_0,3181.63,353.8,13
2022-12-05 01:03:00,randUni9377:1,"[3401.854088866897, 2403.026751339366]","[31.33759707503012, 30.062169097847427]",57.8730929584503,858935309,858935309_0,3016.61,263.56,13
2022-12-05 01:03:00,randUni9595:1,"[3872.145782233528, 2350.013450240844]","[31.3424821671548, 30.061752466490873]",49.653914198585156,25584535#5,25584535#5_0,1964.31,83.65,13
2022-12-05 01:03:00,randUni9618:1,"[4051.5204003312115, 2964.497735372602]","[31.34425007047597, 30.067319011762166]",57.11934515244995,669890462#3,669890462#3_0,1409.68,173.36,13
2022-12-05 01:04:00,randUni1484:1,"[4566.1813687508, 2446.330376718827]","[31.34966518480853, 30.062711875387738]",55.60488383459828,37711813#3,37711813#3_0,2504.27,353.59,11
2022-12-05 01:04:00,randUni1690:1,"[3180.2775535419582, 2369.2594507526683]","[31.3353043364686, 30.06183541359955]",61.366933984406735,858935302,858935302_0,1575.88,83.71,11
2022-12-05 01:04:00,randUni2800:1,"[4262.754747467542, 1462.2201378998548]","[31.346666043956596, 30.053794910306813]",53.80972325294481,-26202643#0,-26202643#0_0,1191.52,262.94,11
2022-12-05 01:04:00,randUni5129:1,"[2670.0705980478397, 2300.9182637944386]","[31.330023667191092, 30.061151818892885]",45.73755396310672,947628159#4,947628159#4_0,477.29,118.85,11
2022-12-05 01:04:00,randUni7300:1,"[3996.986949907103, 2471.656480388091]","[31.34375854662337, 30.062866094795176]",57.28532734343808,858935315,858935315_0,1485.34,263.89,11
2022-12-05 01:04:00,randUni7699:1,"[3518.7589180271916, 3338.4536401205064]","[31.338668463494134, 30.07062264096933]",56.80765735085734,307882386#2,307882386#2_0,1963.64,8.24,11
2022-12-05 01:04:00,randUni7937:1,"[4519.006635519634, 1535.0617721128606]","[31.34931236909421, 30.054485386987214]",50.98131767120198,26195767#0,26195767#0_0,2432.48,172.83,11
2022-12-05 01:04:00,randUni8076:1,"[4185.761874414168, 1758.3539821469942]","[31.345823246083587, 30.0564562204042]",58.526209677240075,669890462#15,669890462#15_0,1621.62,174.07,11
2022-12-05 01:04:00,randUni8750:1,"[4069.4954508888754, 2964.499596072609]","[31.34443648903736, 30.067321376745]",51.74372906176698,669890458#16,669890458#16_0,203.89,354.13,11
2022-12-05 01:04:00,randUni9377:1,"[2774.380012685124, 2635.9155990035215]","[31.33105467631274, 30.064187460847698]",58.78042915134653,26729412#0,26729412#0_0,3989.16,83.51,11
2022-12-05 01:04:00,randUni9618:1,"[4052.9340133473543, 2116.500355428698]","[31.344392073671695, 30.059669630984303]",57.566113782764575,32690631#3,32690631#3_0,2339.31,173.69,11
2022-12-05 01:05:00,randUni1690:1,"[3483.5663635758815, 2345.3405840584196]","[31.338453157481624, 30.06165944095624]",46.874597486546044,25584525#14,25584525#14_0,2482.49,354.19,8
2022-12-05 01:05:00,randUni2800:1,"[4128.68995576882, 2448.5744080463483]","[31.345127838969688, 30.062675079179858]",64.75375823393564,669890458#7-AddedOffRampEdge,669890458#7-AddedOffRampEdge_1,2213.89,354.17,8
2022-12-05 01:05:00,randUni350:1,"[4238.0046313624935, 2686.0285502602137]","[31.34622586958833, 30.064831360538676]",56.04704256125205,37718805#2,37718805#2_0,224.64,83.52,8
2022-12-05 01:05:00,randUni5129:1,"[3303.9938759397173, 2156.5234815725566]","[31.336619411469066, 30.059932625253857]",43.09711326323072,652088553#2,652088553#2_0,1298.65,173.85,8
2022-12-05 01:05:00,randUni7151:1,"[2949.6369427140594, 1681.9778946883791]","[31.333016408954133, 30.055605344095]",43.73295002790281,217280781#0,217280781#0_0,73.98,353.48,8
2022-12-05 01:05:00,randUni7300:1,"[3071.3876256000913, 2373.7354143756133]","[31.33417443312477, 30.061861484781684]",54.43912779159869,765656381#3-AddedOnRampEdge,765656381#3-AddedOnRampEdge_1,2420.97,291.36,8
2022-12-05 01:05:00,randUni8076:1,"[4549.7338960730885, 1683.646302517686]","[31.34960876654287, 30.055829735096466]",59.11599462412877,:cluster_442338233_442349883_7,:cluster_442338233_442349883_7_0,2462.61,83.64,8
2022-12-05 01:05:00,randUni8750:1,"[4211.824250216964, 3231.5996977756768]","[31.345872498232836, 30.069749401878916]",49.58798349109803,819585395#7,819585395#7_1,1041.9,264.1,8
2022-12-05 01:06:00,randUni1690:1,"[3678.7265625103078, 2952.3684191188595]","[31.34038566507298, 30.067160836574747]",59.92720471032381,:367206572_4,:367206572_4_0,3315.04,83.29,8
2022-12-05 01:06:00,randUni1850:1,"[2470.2113020707056, 2045.2503534578561]","[31.327989842996928, 30.058819176512962]",52.64680460095214,178336809#7,178336809#7_0,618.8,84.29,8
2022-12-05 01:06:00,randUni2800:1,"[4607.74878456214, 2766.140377605584]","[31.350048400622125, 30.065602218250557]",36.88131152866022,40579529#1,40579529#1_0,3119.11,83.55,8
2022-12-05 01:06:00,randUni3367:1,"[3796.109368537049, 1490.209140644225]","[31.34182292709327, 30.053986452231033]",40.77629504838438,850927453#2-AddedOnRampEdge,850927453#2-AddedOnRampEdge_3,121.16,83.56,8
2022-12-05 01:06:00,randUni350:1,"[3743.747097943857, 2452.3941834478214]","[31.3411352205131, 30.06265921900734]",55.094272797353945,671744652#3,671744652#3_0,1173.08,263.51,8
2022-12-05 01:06:00,randUni7151:1,"[3141.3771085204116, 2364.9723429368764]","[31.334901572393274, 30.0617916315494]",56.61099305530014,858935302,858935302_0,976.16,83.71,8
2022-12-05 01:06:00,randUni7300:1,"[2963.551453032712, 2222.408695579976]","[31.333079011075615, 30.060482236570678]",56.1418219306695,694211551#1-AddedOnRampEdge,694211551#1-AddedOnRampEdge_1,3255.41,173.64,8
2022-12-05 01:06:00,randUni8076:1,"[5316.946987332531, 1710.049167990331]","[31.35756070629269, 30.05616754282643]",56.06559744855968,772236620#2,772236620#2_1,3346.69,10.61,8
2022-12-05 01:07:00,randUni10927:1,"[4656.012263616011, 2505.8605056546685]","[31.350587873032275, 30.063260575623456]",36.29547619431537,25746638#3,25746638#3_0,275.01,353.87,6
