dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-05 23:02:00,carIn3874:3,"[5204.487851222913, 2398.0212692259192]","[31.35629197365271, 30.062359028868354]",50.335844566479054,41669755#6,41669755#6_0,273.05,83.75,41
2022-12-05 23:02:00,h13139c1:8,"[3540.797554074479, 3152.4275031808515]","[31.3389250664043, 30.068947442431313]",51.81365714856877,:2057540531_0,:2057540531_0_0,375.48,263.61,41
2022-12-05 23:02:00,h13395c1:5,"[4315.862945792222, 1567.5667661768111]","[31.34720096735325, 30.054752141939307]",49.480202620706315,700675428,700675428_0,2398.61,262.9,41
2022-12-05 23:02:00,h14919c1:3,"[3064.1578288362402, 1657.0186350219153]","[31.334207726035988, 30.05539524621998]",53.3163703139792,28641433#2,28641433#2_0,1906.69,353.67,41
2022-12-05 23:02:00,h2083c1:5,"[5245.649586171338, 1124.1317632652856]","[31.35690864606073, 30.050872853024558]",57.032266318272185,700084841#0,700084841#0_0,273.64,6.36,41
2022-12-05 23:02:00,h28025c1:5,"[4212.782293905579, 1705.9382201360884]","[31.346111304329323, 30.055986915648585]",53.736067732414405,:669890458#1-AddedOnRampNode_0,:669890458#1-AddedOnRampNode_0_1,3794.82,354.12,41
2022-12-05 23:02:00,h28239c1:5,"[4419.912030739974, 2502.630911237553]","[31.348139860831456, 30.063200696174395]",47.967805767939,858915973#2-AddedOnRampEdge,858915973#2-AddedOnRampEdge_1,2962.31,83.9,41
2022-12-05 23:02:00,h31679c1:2,"[4631.097106067092, 2626.5857567800313]","[31.350311424468188, 30.06434636778123]",53.22722434922067,:cluster_3675027604_6570524709_7,:cluster_3675027604_6570524709_7_0,3993.0,173.47,41
2022-12-05 23:02:00,h36299c1:3,"[4989.9445096844065, 3374.4966807438404]","[31.353921249438233, 30.071139760475052]",28.213726754625768,37789114,37789114_0,4160.18,319.43,41
2022-12-05 23:02:00,h39563c1:5,"[2472.173549070627, 3018.5693937060146]","[31.327862584486155, 30.06759942225909]",62.090974059852854,885610134#4,885610134#4_1,573.92,83.59,41
2022-12-05 23:02:00,h41860c1:3,"[2311.518196404095, 2104.5617915212524]","[31.326335193730706, 30.059333264368256]",66.4667137888318,699913210,699913210_0,961.22,81.42,41
2022-12-05 23:02:00,h44004c1:5,"[2239.4468293457444, 2665.295857600348]","[31.325502656168783, 30.064381937133273]",54.891856132226756,906984715#1-AddedOffRampEdge,906984715#1-AddedOffRampEdge_1,5502.69,352.85,41
2022-12-05 23:02:00,h46351c1:3,"[3201.7577946197243, 3522.087583817385]","[31.335353021678944, 30.072237546815177]",33.69787479808554,699695781#0,699695781#0_0,28.11,171.42,41
2022-12-05 23:02:00,h46803c1:8,"[2692.0744459743664, 2308.6435330835293]","[31.330250682957633, 30.06122440470449]",17.11276819688475,765656384#0,765656384#0_0,1346.75,67.54,41
2022-12-05 23:02:00,h48310c1:3,"[4082.6744961412555, 2683.4772891615316]","[31.344615366949455, 30.064788069202667]",49.9317460680147,669890462#5,669890462#5_0,1955.33,173.51,41
2022-12-05 23:02:00,h50971c1:3,"[2336.700500941874, 3016.5743221785747]","[31.32645790793338, 30.06756354391298]",55.15196813221725,52244427#10-AddedOffRampEdge,52244427#10-AddedOffRampEdge_0,553.7,257.85,41
2022-12-05 23:02:00,h52486c1:1,"[2910.329791083274, 1422.9805705605734]","[31.332647959558294, 30.053263837879477]",54.2354284856491,29982808#3,29982808#3_1,3596.77,262.85,41
2022-12-05 23:02:00,h53008c1:5,"[2662.6189728797112, 3408.4588758979803]","[31.32977860336702, 30.071141597595954]",55.32213244127448,770590111#2,770590111#2_0,966.47,163.25,41
2022-12-05 23:02:00,h54550c1:8,"[4454.064470317493, 1587.4138877515302]","[31.348631102266488, 30.054949186738114]",56.5819423807885,700675428,700675428_0,2483.08,286.76,41
2022-12-05 23:02:00,h55541c1:5,"[2782.4637079341724, 1888.7758221883462]","[31.331251583495064, 30.057448812422713]",46.64577497550074,-28641438#1,-28641438#1_0,1919.9,172.57,41
2022-12-05 23:02:00,h58263c1:5,"[2631.109286775481, 1392.5085501209949]","[31.329757213282733, 30.05295220890359]",63.576698858720064,883292352#0,883292352#0_0,1729.94,264.43,41
2022-12-05 23:02:00,h591c1:3,"[3045.658994262354, 2453.016658374288]","[31.333895638216234, 30.062573275315465]",66.25997604810334,-28616980#1,-28616980#1_0,728.49,83.47,41
2022-12-05 23:02:00,h5931c1:3,"[2426.0078489427583, 3032.2329434225767]","[31.32738173062567, 30.067716584608263]",49.072132922184124,52244427#10,52244427#10_0,927.38,264.1,41
2022-12-05 23:02:00,h59558c1:3,"[3740.152271925043, 3154.1666743084756]","[31.34099233739912, 30.068989244242754]",20.9956511801421,939250966#9,939250966#9_0,2007.24,81.26,41
2022-12-05 23:02:00,h8851c1:5,"[5394.32731257694, 2382.844608075948]","[31.35826296907138, 30.06224672578148]",62.935730186216745,772236620#9,772236620#9_1,2757.84,6.1,41
2022-12-05 23:02:00,h9210c1:1,"[3432.7893784336006, 1759.8357241013784]","[31.338014828268072, 30.056371109351637]",41.37387192903305,:6572911078_0,:6572911078_0_0,3039.03,173.46,41
2022-12-05 23:02:00,randUni1059:1,"[3093.805762857147, 1443.725414398299]","[31.334547373391107, 30.05347508511342]",49.31010800273028,29982808#3-AddedOnRampEdge,29982808#3-AddedOnRampEdge_2,1686.52,287.48,41
2022-12-05 23:02:00,randUni10983:1,"[3173.1756746911233, 3098.953675928051]","[31.33512049740751, 30.068416831914224]",57.83607154392692,819202035,819202035_0,2460.17,83.41,41
2022-12-05 23:02:00,randUni11025:1,"[5038.084123039796, 1734.8779922867275]","[31.35466522923047, 30.05635536004552]",46.78273649318851,25746572#6,25746572#6_0,2245.67,83.13,41
2022-12-05 23:02:00,randUni11523:1,"[3315.111749293336, 2811.79990650131]","[31.336635851948557, 30.065845141138663]",56.14562389227422,700074885#3,700074885#3_0,605.79,173.8,41
2022-12-05 23:02:00,randUni11924:1,"[3975.7212155721295, 1618.0617524119325]","[31.34366622643682, 30.055163255813223]",65.79536010524214,32690553#6,32690553#6_0,1714.38,83.61,41
2022-12-05 23:02:00,randUni12039:1,"[4359.5195056687835, 3238.6906762778563]","[31.347403218573195, 30.0698326368675]",57.195417473418594,939250978#1,939250978#1_1,1738.84,262.99,41
2022-12-05 23:02:00,randUni2381:1,"[4209.725340537272, 1792.7720984151479]","[31.34606658205318, 30.056769824396902]",46.56244578173079,37718131#0,37718131#0_0,2872.01,63.69,41
2022-12-05 23:02:00,randUni4694:1,"[5191.8140985051, 1545.221338926715]","[31.356287658722017, 30.054664445305672]",54.11758430443993,-26195753#1,-26195753#1_0,1348.43,6.74,41
2022-12-05 23:02:00,randUni6124:1,"[3886.247567372418, 3167.3521576349676]","[31.342505529297995, 30.06912730310237]",56.71166954530176,939250966#10,939250966#10_1,1093.94,83.37,41
2022-12-05 23:02:00,randUni6639:1,"[5130.102224020851, 2287.8334501197946]","[31.355536989780585, 30.06135539893592]",62.196966759944445,32691445#7,32691445#7_0,2942.35,84.26,41
2022-12-05 23:02:00,randUni684:1,"[2763.888481300072, 2340.4679749853553]","[31.330990596784403, 30.06152094045451]",58.01613831261462,:6571819459_0,:6571819459_0_0,2509.84,263.83,41
2022-12-05 23:02:00,randUni6912:1,"[3287.7684647591445, 3044.357528631182]","[31.336317184480514, 30.06793938501524]",49.28865883111957,700074885#0-AddedOnRampEdge,700074885#0-AddedOnRampEdge_1,807.15,172.37,41
2022-12-05 23:02:00,randUni8712:1,"[4899.124805345347, 2364.6035584630717]","[31.353130193802723, 30.062017938959485]",56.522910100105825,41669755#3,41669755#3_0,3183.74,83.76,41
2022-12-05 23:02:00,randUni920:1,"[4529.10926707183, 2760.6578012154887]","[31.349233664857742, 30.065542521434512]",20.807735816300188,:cluster_6570524682_6570524683_5,:cluster_6570524682_6570524683_5_0,407.28,37.24,41
2022-12-05 23:02:00,randUni9706:1,"[4619.489395450029, 3241.875271859798]","[31.35009895828401, 30.069895238073098]",62.87885244006516,:8700766893_2,:8700766893_2_0,3291.3,88.78,41
2022-12-05 23:03:00,carIn3874:3,"[5332.221792885749, 2034.0374619352563]","[31.357670855420725, 30.059092158663923]",34.384526536782936,41336031#12,41336031#12_1,1049.16,186.77,38
2022-12-05 23:03:00,h12434c1:3,"[4050.660733192452, 2971.8851854006384]","[31.344240045293635, 30.0673855396892]",61.41899066499566,669890462#3,669890462#3_0,594.82,173.36,38
2022-12-05 23:03:00,h13139c1:8,"[4055.7580525584754, 2928.08196157638]","[31.344299488487067, 30.066991068271527]",52.94388310568861,669890462#3,669890462#3_0,1205.12,173.36,38
2022-12-05 23:03:00,h13395c1:5,"[3534.9413907938347, 1479.6861116434407]","[31.339116313266025, 30.05385734261855]",49.1603657501906,700673538,700673538_0,3189.8,262.47,38
2022-12-05 23:03:00,h14919c1:3,"[3294.5636885932554, 2214.1391072083193]","[31.33651292714357, 30.060451121705604]",52.54777954748038,-652088553#2,-652088553#2_0,2713.09,353.84,38
2022-12-05 23:03:00,h2083c1:5,"[5217.801295065988, 1351.189069445591]","[31.356586049598977, 30.05291748573242]",52.80086646500541,658893839,658893839_0,1144.5,273.88,38
2022-12-05 23:03:00,h24559c1:3,"[3694.305543238056, 3021.9661287267813]","[31.34053675678481, 30.067790697899344]",58.15678106928485,32659640#2,32659640#2_0,755.85,264.28,38
2022-12-05 23:03:00,h28025c1:5,"[4809.551690340908, 1710.3584826950996]","[31.352299038448077, 30.056104494555207]",52.534236372513874,25746572#4,25746572#4_0,4614.85,83.91,38
2022-12-05 23:03:00,h28239c1:5,"[4093.1316434001324, 2777.2677818002544]","[31.344709732979794, 30.065635494682656]",48.666785292117424,669890458#13,669890458#13_1,3742.86,352.94,38
2022-12-05 23:03:00,h31679c1:2,"[5279.75879395797, 2471.6519501068874]","[31.35706160123368, 30.063032995001304]",52.693554762144956,25746632#10,25746632#10_0,4843.16,179.54,38
2022-12-05 23:03:00,h39563c1:5,"[3103.074788302691, 3109.6057774309793]","[31.334391868735796, 30.06850371016866]",37.77706965956237,52244427#6,52244427#6_0,1536.53,263.43,38
2022-12-05 23:03:00,h41860c1:3,"[2785.4539341958134, 2317.962804804317]","[31.331217643112158, 30.061320767679145]",64.6163928562833,:500094885_2,:500094885_2_0,1670.37,84.48,38
2022-12-05 23:03:00,h4246c1:6,"[4534.777699853262, 2542.6682606014733]","[31.34932508929857, 30.063576827693918]",47.13140936385543,:280773409_1,:280773409_1_0,558.2,176.71,38
2022-12-05 23:03:00,h46351c1:3,"[3425.1177784313995, 3138.375283110439]","[31.337727457280238, 30.06880551385557]",55.86540334885688,52244427#0,52244427#0_0,814.89,232.21,38
2022-12-05 23:03:00,h46803c1:8,"[2808.83853501234, 1994.3990589440175]","[31.331509106868555, 30.058405078416694]",59.2442335583189,675093183#1,675093183#1_0,2208.72,263.23,38
2022-12-05 23:03:00,h48310c1:3,"[4177.773761625413, 1835.3131246622015]","[31.34572886659995, 30.0571494078702]",53.274004714558764,669890462#15,669890462#15_0,2809.54,174.07,38
2022-12-05 23:03:00,h49969c1:5,"[4277.049302894338, 3238.8670443262554]","[31.34654787282037, 30.069823470533613]",35.6261649390302,819585395#6,819585395#6_1,438.39,263.46,38
2022-12-05 23:03:00,h50971c1:3,"[2996.3781345246866, 3078.3186827136537]","[31.333290043567363, 30.068207451770313]",54.42264282983432,819202035,819202035_0,1478.28,79.52,38
2022-12-05 23:03:00,h52486c1:1,"[2397.8056028058236, 1261.9836599828839]","[31.327357788102987, 30.051744030345073]",37.546536393495636,:267611273_2,:267611273_2_0,4485.78,289.73,38
2022-12-05 23:03:00,h53008c1:5,"[2220.3471625461752, 3009.883392157761]","[31.325252235113105, 30.067487817589836]",55.34300830521028,699470588,699470588_0,1826.39,293.28,38
2022-12-05 23:03:00,h54550c1:8,"[3517.7216039483137, 1480.6332610976567]","[31.3389376092544, 30.053863630755817]",55.2926358384646,700673538,700673538_1,3431.97,262.47,38
2022-12-05 23:03:00,h5931c1:3,"[2796.1434315741253, 3053.4871881118775]","[31.331217167655815, 30.067957105279344]",50.38508668427954,885610134#4,885610134#4_0,1740.68,85.61,38
2022-12-05 23:03:00,h61657c1:1,"[4641.555894740426, 3275.8161374429715]","[31.350322736315956, 30.070204283177212]",57.1654545078108,940974903#10,940974903#10_0,101.78,266.63,38
2022-12-05 23:03:00,h9210c1:1,"[3015.3608105185135, 1433.1599761059342]","[31.33373553612902, 30.053369470765496]",42.01854072276721,29982808#3-AddedOnRampEdge,29982808#3-AddedOnRampEdge_2,3757.73,262.7,38
2022-12-05 23:03:00,randUni1059:1,"[2367.0465170017346, 1491.4359148171736]","[31.327004037429433, 30.053809787082763]",48.10944159686436,894550197#3,894550197#3_0,2522.45,353.49,38
2022-12-05 23:03:00,randUni10983:1,"[4161.4476508203725, 3201.21578910251]","[31.345354591598245, 30.069468740131917]",60.72192060829194,939250973,939250973_0,3456.28,75.4,38
2022-12-05 23:03:00,randUni11025:1,"[5459.200138669846, 2048.5631023297137]","[31.35898548383081, 30.059239635636327]",10.474641564045292,699676368,699676368_0,3082.34,89.65,38
2022-12-05 23:03:00,randUni11330:1,"[4140.838687937094, 2329.999782054435]","[31.34527162254876, 30.06160703339714]",64.96579367787014,669890458#7,669890458#7_0,755.14,353.97,38
