dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-05 05:02:00,h11168c1:5,"[3484.9138045585655, 3259.059984217938]","[31.338329414911673, 30.069902016748006]",50.30829887298156,28495635#6,28495635#6_0,1940.36,188.31,16
2022-12-05 05:02:00,h14053c1:1,"[1786.084919971054, 4061.778873386708]","[31.320588279607897, 30.076919106300974]",52.57451196524609,24958252#0,24958252#0_0,427.53,136.9,16
2022-12-05 05:02:00,h16011c1:3,"[3515.269639495363, 2406.983810422511]","[31.338772644448927, 30.062219662372847]",61.5834941894415,858935302,858935302_0,1633.3,83.52,16
2022-12-05 05:02:00,h20812c1:5,"[2552.681371745127, 1469.24492132913]","[31.328932337135868, 30.053634089710094]",54.29847474601803,217280770#1,217280770#1_0,217.42,83.19,16
2022-12-05 05:02:00,h3457c1:1,"[5274.824271998965, 2339.7677132244744]","[31.35703007956672, 30.06184265393161]",36.416701154338625,25746632#12,25746632#12_0,3586.76,183.5,16
2022-12-05 05:02:00,h58947c1:1,"[2564.52077669449, 2352.396647944283]","[31.328921286945278, 30.06160227875462]",21.84404004281848,-182371955#0,-182371955#0_0,563.08,83.55,16
2022-12-05 05:02:00,h5980c1:3,"[5461.293400427815, 1758.701927294014]","[31.359050323450354, 30.05662512218295]",63.7064879429336,-35584002#0,-35584002#0_0,2558.92,10.58,16
2022-12-05 05:02:00,randUni10557:1,"[2306.1176153006622, 2001.5899448757648]","[31.32629481812728, 30.058403676774557]",57.50492439567492,859375452,859375452_0,483.04,353.82,16
2022-12-05 05:02:00,randUni11457:1,"[3734.984685209595, 2359.5549329479613]","[31.341058318567654, 30.061820594546454]",38.005153296608405,858913992#0,858913992#0_0,1528.16,174.84,16
2022-12-05 05:02:00,randUni215:1,"[4662.5681545926345, 2898.3240063192]","[31.35059714624291, 30.06680175107949]",46.419387028392954,-32691720#0,-32691720#0_0,3549.45,354.76,16
2022-12-05 05:02:00,randUni2300:1,"[3111.831218786895, 1944.6437650336716]","[31.334658651915895, 30.057996091068283]",29.168576092388104,:6113719079_18,:6113719079_18_0,706.7,122.18,16
2022-12-05 05:02:00,randUni2459:1,"[4391.675784296438, 1480.4724870141204]","[31.34800016769854, 30.053976365142177]",61.40576497616573,26202643#1,26202643#1_0,3132.33,83.71,16
2022-12-05 05:02:00,randUni2533:1,"[3748.0833072948753, 2191.901655914482]","[31.341219377613236, 30.060309953647117]",36.704885897577064,25584541#3,25584541#3_0,2000.49,83.47,16
2022-12-05 05:02:00,randUni6271:1,"[3801.468093724297, 2615.5891804004436]","[31.34170926947927, 30.06413890968061]",22.995491096782242,:278877522_9,:278877522_9_0,3219.16,34.22,16
