dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-05 17:02:00,carIn1040:1,"[4600.975071641244, 2031.670771106838]","[31.350088060694187, 30.058975855389345]",63.80233011289884,25746624#2,25746624#2_0,3781.71,354.0,338
2022-12-05 17:02:00,carIn1237:3,"[2679.775276443144, 3058.439167798513]","[31.330009566757877, 30.067986447207666]",65.13310788533698,52244427#10,52244427#10_0,5956.97,264.1,338
2022-12-05 17:02:00,carIn1411:3,"[5377.864420041198, 2518.102941220618]","[31.358072097941346, 30.063464732505096]",16.592241461947562,41336031#8,41336031#8_0,6.81,179.04,338
2022-12-05 17:02:00,carIn1525:1,"[3551.9250680186447, 2405.3340374728887]","[31.339153025051868, 30.062209583593397]",66.03836913037439,26195270#3,26195270#3_0,4061.17,83.73,338
2022-12-05 17:02:00,carIn1698:3,"[3757.483223577833, 2395.6142907540793]","[31.341286212532264, 30.062148820545964]",0.0,320375616#1,320375616#1_0,0.0,354.04,338
2022-12-05 17:02:00,carIn1923:3,"[3416.244405817036, 1632.1448245764157]","[31.337862504365027, 30.055217076108818]",46.11520499228692,768258462#0,768258462#0_0,712.0,84.87,338
2022-12-05 17:02:00,carIn1963:3,"[4438.786977239465, 3233.9640269723564]","[31.34822603027603, 30.06980033324465]",63.44255853953814,939250973,939250973_0,3877.31,85.33,338
2022-12-05 17:02:00,carIn3030:3,"[5400.540112399202, 2523.3752147058412]","[31.358306474514933, 30.063515229825253]",65.94342306405561,:272512071_0,:272512071_0_1,243.83,357.32,338
2022-12-05 17:02:00,carIn3059:3,"[5194.966145709608, 3163.3921197617115]","[31.356079102696423, 30.069262045675213]",57.409835521091644,772236620#21,772236620#21_0,3753.68,328.13,338
2022-12-05 17:02:00,carIn305:3,"[5181.512623938223, 3185.0315599199694]","[31.355936345436554, 30.06945550520578]",56.919349553103736,772236620#21,772236620#21_0,2402.74,328.13,338
2022-12-05 17:02:00,carIn3295:3,"[3946.017841669814, 1426.877316612576]","[31.34338692705788, 30.053434747916647]",59.386142756488425,-215628990#2,-215628990#2_0,2090.84,263.65,338
2022-12-05 17:02:00,carIn3336:3,"[2247.6597448773105, 3007.383321790294]","[31.32553587078589, 30.067468874194326]",58.32693676856996,52244427#10-AddedOffRampEdge,52244427#10-AddedOffRampEdge_0,1391.26,264.11,338
2022-12-05 17:02:00,carIn3594:3,"[5254.092232804795, 1344.696955174925]","[31.356963337043624, 30.052863624880867]",0.8056883012622541,890774197#2,890774197#2_1,4810.5,179.53,338
2022-12-05 17:02:00,carIn3640:3,"[3316.3906984298696, 2974.232113691968]","[31.336624607099665, 30.06731056158746]",54.4719921962773,28582639#13,28582639#13_1,1594.77,352.62,338
2022-12-05 17:02:00,carIn3641:3,"[4090.3010122164565, 2774.047282051752]","[31.344680860616805, 30.06560607370345]",61.58712863691697,669890458#13,669890458#13_0,2624.82,352.95,338
2022-12-05 17:02:00,carIn366:1,"[3411.2484549510564, 2115.880033814106]","[31.33773778645961, 30.059580061112822]",55.154070753250615,28582639#7,28582639#7_0,2489.44,354.07,338
2022-12-05 17:02:00,carIn4444:3,"[2571.595879877183, 3033.8395947340928]","[31.32889137093751, 30.067750283137624]",48.09473982355811,885610134#4,885610134#4_0,1348.87,82.52,338
2022-12-05 17:02:00,carIn4542:3,"[3951.0541711541478, 3197.614719185305]","[31.3431731001321, 30.06940876770441]",54.05725924652535,819585395#10,819585395#10_0,2238.35,263.77,338
2022-12-05 17:02:00,carIn4850:3,"[4496.233002955713, 3037.8930208478714]","[31.348851187826984, 30.068039110904408]",68.12793552363418,37711813#5-AddedOffRampEdge,37711813#5-AddedOffRampEdge_0,4271.36,353.46,338
2022-12-05 17:02:00,h1015c1:3,"[2856.6327372038168, 1416.2476770450958]","[31.33209216882899, 30.053196039935102]",55.38097347940086,29982808#3,29982808#3_1,2025.29,262.85,338
2022-12-05 17:02:00,h11098c1:5,"[2118.3123114814316, 2008.8046365422026]","[31.324346190987853, 30.058443948649344]",49.69441772657559,178336809#0,178336809#0_0,3616.99,71.82,338
2022-12-05 17:02:00,h11233c1:3,"[3054.648621882468, 2355.4142421822103]","[31.334003611958916, 30.061694015134364]",50.811081269526895,858935302,858935302_0,642.96,83.71,338
2022-12-05 17:02:00,h11603c1:3,"[5172.536182663388, 1382.145755141025]","[31.356112057561642, 30.053190872243405]",40.771455193437795,-26195753#3,-26195753#3_0,1453.52,6.74,338
2022-12-05 17:02:00,h11945c1:5,"[4982.216364646564, 1650.1035404087022]","[31.35409853850019, 30.05558337518264]",52.16194580194563,:4325417781_0,:4325417781_0_1,248.29,259.99,338
2022-12-05 17:02:00,h12679c1:5,"[5547.707826660799, 1691.0901350915267]","[31.359956490559497, 30.05602639017967]",58.372912681771496,850839746,850839746_1,3551.8,82.9,338
2022-12-05 17:02:00,h12876c1:3,"[4222.798659719129, 1545.1204397945735]","[31.34623928621818, 30.054537523376446]",66.24074910701462,850927457,850927457_1,3805.72,83.15,338
2022-12-05 17:02:00,h12973c1:5,"[5465.8458077331825, 1680.8959512253648]","[31.359109108060824, 30.05592383779098]",56.31673394385433,850839746,850839746_1,1386.29,82.9,338
2022-12-05 17:02:00,h13321c1:1,"[3294.768909535817, 3109.756787504336]","[31.336379916185063, 30.06853025098532]",63.517339358448,819202035,819202035_1,2731.32,83.42,338
2022-12-05 17:02:00,h13425c1:3,"[3426.9387434901314, 2385.8613293606636]","[31.337859800707093, 30.06201754303733]",66.58220973278708,26195270#1,26195270#1_0,128.09,69.2,338
2022-12-05 17:02:00,h13499c1:1,"[4341.216122887047, 3246.546327096289]","[31.347212211609047, 30.069901113711303]",56.32345736409258,819585395#1-AddedOnRampEdge,819585395#1-AddedOnRampEdge_2,3754.12,263.06,338
2022-12-05 17:02:00,h13507c1:5,"[5105.648944679621, 816.1532467641342]","[31.355502845435833, 30.04807648728297]",58.89181580791108,-26195753#4,-26195753#4_0,88.61,6.74,338
2022-12-05 17:02:00,h15515c1:5,"[4268.768488622722, 1564.5945001438208]","[31.34671305841127, 30.054719189596145]",32.405211274951284,700675428,700675428_1,1393.52,262.21,338
2022-12-05 17:02:00,h16081c1:3,"[4428.090920828881, 1584.5862439959499]","[31.348362187548602, 30.054920295879825]",56.28997490853965,700675428,700675428_1,4076.12,263.12,338
2022-12-05 17:02:00,h16163c1:3,"[4168.478904526681, 2490.0085129845174]","[31.345534252796757, 30.063054039865033]",53.14452596992177,858935315,858935315_0,1884.29,263.89,338
2022-12-05 17:02:00,h16177c1:5,"[4452.42779856531, 1591.4698813436728]","[31.348613523155734, 30.054985561758553]",55.68606405179572,700675428,700675428_1,1528.64,292.44,338
2022-12-05 17:02:00,h16261c1:5,"[2897.200113842765, 2435.940227276829]","[31.332358639710286, 30.062399711424344]",44.848957477421976,-28616980#2,-28616980#2_0,488.35,82.9,338
2022-12-05 17:02:00,h16552c1:3,"[4330.052109883997, 1572.565074706044]","[31.347347355525436, 30.054799080163484]",57.20503152967012,700675428,700675428_1,2260.45,262.9,338
2022-12-05 17:02:00,h16661c1:5,"[3022.0748716569587, 1411.1348171589052]","[31.33380848450235, 30.05317167057698]",53.16575279348585,564555056#7,564555056#7_1,1727.44,89.45,338
2022-12-05 17:02:00,h16767c1:3,"[4915.53963792667, 2360.0865958519544]","[31.353301097940516, 30.06197932496151]",28.789918005029172,863793427#1,863793427#1_0,2673.85,157.77,338
2022-12-05 17:02:00,h16779c1:5,"[4246.9374350872, 1558.5143073366664]","[31.346487589010408, 30.054661494642957]",47.710952310720785,700675428,700675428_0,1739.96,262.87,338
2022-12-05 17:02:00,h16950c1:3,"[3835.869917052874, 2893.7405508052825]","[31.342024207748818, 30.066652538128128]",61.47944941982631,-25584622,-25584622_0,4727.67,262.67,338
2022-12-05 17:02:00,h17238c1:5,"[2940.886166295874, 3071.019600915756]","[31.33271563981691, 30.06813430995967]",50.998717397625605,885610134#4-AddedOffRampEdge,885610134#4-AddedOffRampEdge_0,58.09,85.61,338
