dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 00:01:00,randUni10221:1,"[5384.12499152236, 2289.283116475348]","[31.35817109738038, 30.061401404180263]",59.85569242702917,:cluster_8574575726_8574575729_8574575735_8574575737_2,:cluster_8574575726_8574575729_8574575735_8574575737_2_1,473.46,6.73,6
2022-12-04 00:01:00,randUni4995:1,"[2778.074858574861, 1408.4599859801112]","[31.331278745976647, 30.05311545295464]",22.809345291971972,:272513533_3,:272513533_3_1,17.03,188.95,6
2022-12-04 00:01:00,randUni5613:1,"[4253.736589378578, 2925.5721395740647]","[31.346353090377082, 30.066994275436322]",54.80076862829134,699926147#5,699926147#5_0,181.96,264.16,6
2022-12-04 00:01:00,randUni6778:1,"[4204.3887759484605, 2090.548200906705]","[31.34596658034095, 30.059455293989025]",0.0,37099139#0,37099139#0_0,0.0,83.49,6
2022-12-04 00:01:00,randUni7938:1,"[4503.402323298416, 3224.2585147318105]","[31.348897626539163, 30.069721202458418]",25.072513372302204,:8700679592_0,:8700679592_0_0,158.07,131.95,6
2022-12-04 00:01:00,randUni9405:1,"[4990.8181357821595, 1700.4782017096732]","[31.3541802198355, 30.05603891145325]",47.77673640817253,25746621#3,25746621#3_0,124.93,173.78,6
2022-12-04 00:02:00,randUni10221:1,"[5138.322222710172, 3254.501555856164]","[31.355478042030228, 30.07007657516767]",59.82432512725823,772236620#21,772236620#21_0,1497.56,328.13,9
2022-12-04 00:02:00,randUni2776:1,"[4592.681107954932, 2110.685232155239]","[31.349990228241065, 30.059687547445037]",58.411044505812676,25746624#3,25746624#3_0,279.5,354.01,9
2022-12-04 00:02:00,randUni4435:1,"[4581.59558815917, 3058.169139796382]","[31.349733454457457, 30.0682331352873]",51.02996373783124,654745276#0,654745276#0_0,101.27,173.46,9
2022-12-04 00:02:00,randUni4995:1,"[3058.0106466490497, 1712.526741975958]","[31.33413559750582, 30.05589516084264]",59.61164416174145,28641433#3,28641433#3_0,933.55,353.67,9
2022-12-04 00:02:00,randUni5613:1,"[4074.9064790486345, 2754.6025689989747]","[31.344524126876852, 30.06542865733159]",55.960583623101485,669890462#5,669890462#5_0,1050.97,174.01,9
2022-12-04 00:02:00,randUni5654:1,"[2870.74754950089, 2646.880769681]","[31.332052405059454, 30.064299059338644]",28.664505507597884,26729412#1,26729412#1_0,46.94,83.5,9
2022-12-04 00:02:00,randUni6778:1,"[4303.712038387875, 2490.2004516883153]","[31.346936665099488, 30.063073415243913]",47.10898355465283,858915973#1,858915973#1_0,701.06,83.89,9
2022-12-04 00:02:00,randUni7938:1,"[4652.027916651795, 3272.304919348997]","[31.350431870371697, 30.070173972481967]",60.58893744555642,939250971,939250971_0,1062.59,263.26,9
2022-12-04 00:02:00,randUni9405:1,"[4002.734485822028, 1534.2327473346909]","[31.343958933088803, 30.054410583917388]",64.76867473429269,700675428,700675428_0,1166.53,264.87,9
2022-12-04 00:03:00,randUni10221:1,"[4726.835498954359, 3308.87360538068]","[31.35120225276871, 30.070513585179807]",33.26556391316825,:8989953645_0,:8989953645_0_0,2367.26,149.16,13
2022-12-04 00:03:00,randUni11108:1,"[3624.436404285897, 2854.839066176199]","[31.339837312744844, 30.06627394150027]",62.636935704146445,-25584620#0,-25584620#0_0,134.71,172.91,13
2022-12-04 00:03:00,randUni2776:1,"[4509.822103567775, 2756.2120244683465]","[31.349034306989708, 30.065499904961385]",36.01310725877955,:6570524732_1,:6570524732_1_0,1201.37,173.72,13
2022-12-04 00:03:00,randUni3462:1,"[3462.4347395764526, 3001.783770214824]","[31.33813506765601, 30.06757825591855]",50.626491624008715,32659640#2,32659640#2_1,535.41,264.01,13
2022-12-04 00:03:00,randUni4435:1,"[4207.2457218774825, 2703.4533957596614]","[31.345904263024014, 30.064984531907424]",30.142564270206098,-32691357#3,-32691357#3_0,830.64,332.51,13
2022-12-04 00:03:00,randUni4436:1,"[3318.6468553960767, 2020.9474726380724]","[31.336791813928944, 30.058711555611865]",64.6359140893165,:cluster_664906569_664906572_8279195451_9,:cluster_664906569_664906572_8279195451_9_0,94.94,173.42,13
2022-12-04 00:03:00,randUni4631:1,"[4523.596393053372, 1469.0975322386275]","[31.349369835289185, 30.053890935802002]",51.78134140253696,-26195767#1,-26195767#1_0,143.47,353.95,13
2022-12-04 00:03:00,randUni5613:1,"[4174.7169690754945, 1864.7629008120443]","[31.345692750211438, 30.057414668256655]",54.89912948970079,669890462#15,669890462#15_0,1947.12,174.07,13
2022-12-04 00:03:00,randUni5654:1,"[2850.1082270637185, 2324.9179079661017]","[31.33188707435295, 30.061392017404867]",55.325757840645274,765656384#1,765656384#1_0,794.69,83.82,13
2022-12-04 00:03:00,randUni6778:1,"[3981.2397931299247, 2469.97192859032]","[31.343595493659613, 30.06284884118603]",49.848241038526346,858935315,858935315_0,1470.26,263.89,13
2022-12-04 00:03:00,randUni7938:1,"[3685.273253114126, 3173.227823584682]","[31.340420310078485, 30.069154004162826]",59.982047825971286,940974902#0,940974902#0_0,2037.57,262.87,13
2022-12-04 00:03:00,randUni9405:1,"[2973.3830900015437, 1430.9983806546484]","[31.333300576218747, 30.053344454291818]",62.66199513558499,29982808#3,29982808#3_1,2206.32,262.69,13
2022-12-04 00:03:00,randUni9698:1,"[5235.707833522942, 2828.1632657320342]","[31.356551623270075, 30.06624330033603]",61.22504851823416,32691832#6,32691832#6_0,530.85,344.44,13
2022-12-04 00:04:00,randUni11108:1,"[4107.632942801459, 2474.536491344531]","[31.34490557007403, 30.06290652721533]",59.38118733000096,669890462#10,669890462#10_0,986.3,177.36,16
2022-12-04 00:04:00,randUni2317:1,"[5342.649337362843, 1956.1365490086077]","[31.357790592043514, 30.058390780238657]",29.480969083830715,:416998632_2,:416998632_2_0,21.67,6.35,16
2022-12-04 00:04:00,randUni2776:1,"[3760.8191746280936, 2454.2324316452937]","[31.341311989518086, 30.062678035471762]",60.33796394228608,671744652#2,671744652#2_0,2201.05,264.42,16
2022-12-04 00:04:00,randUni3462:1,"[3287.9559429134547, 3042.9572209101193]","[31.336319340153388, 30.06792677787128]",50.900312274595564,700074885#0-AddedOnRampEdge,700074885#0-AddedOnRampEdge_1,1298.1,172.37,16
2022-12-04 00:04:00,randUni4435:1,"[4276.126751405704, 3213.7063800217993]","[31.346542079049073, 30.069596382268816]",53.15038019675089,939250973,939250973_1,1640.29,83.68,16
2022-12-04 00:04:00,randUni4436:1,"[3636.087302119386, 1580.070006102675]","[31.340150043945425, 30.05477612468518]",64.45674628492077,32690553#2,32690553#2_0,977.1,83.38,16
2022-12-04 00:04:00,randUni4631:1,"[4172.895101346619, 2040.4723858196817]","[31.345647498300043, 30.058999462767034]",57.3818839418233,669890458#3,669890458#3_0,1035.6,353.59,16
2022-12-04 00:04:00,randUni5613:1,"[3604.7599104087994, 1488.919128067386]","[31.33983891009184, 30.053949775156333]",52.802607610322084,700673538,700673538_0,2846.97,262.55,16
2022-12-04 00:04:00,randUni5654:1,"[3730.2078454856446, 2412.4670187137467]","[31.341000819668935, 30.06229727493957]",55.26834805053357,858913992#0,858913992#0_0,1691.96,174.84,16
2022-12-04 00:04:00,randUni6778:1,"[3194.4961811857893, 2379.6281410032952]","[31.335450223435505, 30.061930813698968]",46.56129694267077,858935309,858935309_0,2265.99,263.56,16
2022-12-04 00:04:00,randUni7938:1,"[3295.74232570024, 2985.9781436844933]","[31.3364086915742, 30.067413808826682]",58.41510390654546,700074885#0-AddedOnRampEdge,700074885#0-AddedOnRampEdge_1,2958.35,171.67,16
2022-12-04 00:04:00,randUni8020:1,"[5348.431336243698, 2741.199610772836]","[31.357733625926333, 30.0654734302207]",21.054304970875382,41336031#6,41336031#6_0,10.89,168.13,16
2022-12-04 00:04:00,randUni9405:1,"[2326.621383683153, 1813.3697923199836]","[31.326536003101253, 30.05670851206113]",62.02883741089342,859375452,859375452_0,3246.94,354.25,16
2022-12-04 00:04:00,randUni9638:1,"[3384.2015044243976, 1462.3706507115796]","[31.337555819621773, 30.053681389030476]",57.698520651636066,700673538,700673538_0,537.42,264.24,16
2022-12-04 00:04:00,randUni9666:1,"[4167.503212397898, 2116.8701981907775]","[31.34558012184831, 30.059687924925495]",54.19068171926942,669890458#5,669890458#5_1,523.6,353.61,16
2022-12-04 00:04:00,randUni9698:1,"[4383.554419724441, 2716.737062285027]","[31.347730725274218, 30.065127356938117]",64.14983538864855,26264286#1,26264286#1_0,1433.18,263.67,16
2022-12-04 00:05:00,randUni11108:1,"[4215.30816099118, 1681.3108788447748]","[31.346141190159287, 30.05576508780267]",60.911643608204024,669890458#1-AddedOnRampEdge,669890458#1-AddedOnRampEdge_2,1964.17,354.15,18
2022-12-04 00:05:00,randUni2317:1,"[5360.830756398697, 2784.6712739484806]","[31.357855743202947, 30.065867185986466]",50.15300905433895,772236620#17,772236620#17_0,857.82,346.02,18
2022-12-04 00:05:00,randUni2776:1,"[2766.5839204582535, 2341.2780937774487]","[31.33101842668112, 30.061528603176846]",60.59492789668635,:6571819459_1,:6571819459_1_0,3205.45,269.79,18
2022-12-04 00:05:00,randUni3365:1,"[2196.257765610125, 2292.7322943303675]","[31.325111356667882, 30.061015463426006]",48.220619475104726,699904383#0,699904383#0_0,179.85,100.88,18
2022-12-04 00:05:00,randUni3462:1,"[3379.176761120966, 2229.3382916911814]","[31.337388091832846, 30.06059932980977]",51.06209658231012,700074885#13,700074885#13_0,2117.98,172.89,18
2022-12-04 00:05:00,randUni4436:1,"[3932.8298061662085, 1508.884147063962]","[31.343237855279742, 30.054172787861937]",63.03374652337846,850927453#3-AddedOffRampEdge,850927453#3-AddedOffRampEdge_2,1983.17,83.55,18
2022-12-04 00:05:00,randUni4631:1,"[4314.10358060065, 2807.9570456107535]","[31.34699678963134, 30.06594117408477]",58.559689136361385,-37796191#3,-37796191#3_0,1991.81,83.35,18
2022-12-04 00:05:00,randUni4881:1,"[5390.26116193403, 2374.946251743696]","[31.358221977045787, 30.062174949585177]",54.50643891127366,772236620#9,772236620#9_0,694.96,6.1,18
2022-12-04 00:05:00,randUni5317:1,"[4085.1237976119364, 2843.270969729585]","[31.344616774358993, 30.066229846411115]",59.30309286865896,669890458#14,669890458#14_1,128.98,353.15,18
2022-12-04 00:05:00,randUni5613:1,"[2786.283598335015, 1485.9862729892359]","[31.331352137446657, 30.05381587436481]",36.129540595667855,652096512#0,652096512#0_0,3736.13,352.41,18
2022-12-04 00:05:00,randUni7133:1,"[4861.62170959231, 1638.918869040037]","[31.35284966634605, 30.05546681889801]",56.333742076885706,26203214#3,26203214#3_1,65.65,263.22,18
2022-12-04 00:05:00,randUni7938:1,"[3283.074061719632, 2102.094340740868]","[31.336410680918284, 30.059438890507028]",57.62129449179736,28641545#0,28641545#0_0,3930.87,264.11,18
2022-12-04 00:05:00,randUni8020:1,"[5172.818876519315, 2051.295237564434]","[31.356015245026626, 30.059227176077744]",53.99027726700843,-25746578#9,-25746578#9_0,859.77,263.74,18
2022-12-04 00:05:00,randUni9405:1,"[2218.096656779374, 2850.028978108562]","[31.325253180342624, 30.066045529532037]",64.57665331564112,819221586#2-AddedOnRampEdge,819221586#2-AddedOnRampEdge_0,4292.23,356.73,18
2022-12-04 00:05:00,randUni9410:1,"[3884.0444461211555, 3190.2914291982006]","[31.34247923098569, 30.069333943830074]",68.49358410793792,819585395#14-AddedOffRampEdge,819585395#14-AddedOffRampEdge_0,445.21,263.75,18
2022-12-04 00:05:00,randUni9638:1,"[2653.294145790158, 1552.2463365074332]","[31.329963071083657, 30.05439607608924]",28.34815630826706,217280784#1,217280784#1_0,1401.22,265.07,18
2022-12-04 00:05:00,randUni9666:1,"[4399.589096278824, 2524.1676591658106]","[31.34792587338655, 30.0633923253049]",54.52675523954611,858915972#1,858915972#1_0,1390.58,263.67,18
2022-12-04 00:05:00,randUni9698:1,"[4049.2536180197703, 2983.977066726797]","[31.344223635901592, 30.06749443352469]",61.135715210202385,669890462#3,669890462#3_0,2392.08,173.36,18
2022-12-04 00:06:00,randUni10610:1,"[5247.400989125764, 2016.1755787333318]","[31.35679390950102, 30.05892003835406]",36.540274048754945,863793426#4,863793426#4_0,34.82,8.07,14
