dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 01:02:00,randUni1015:1,"[3290.414602481027, 3024.593054756437]","[31.33634761040657, 30.067761443000233]",52.66518471715147,700074885#0-AddedOnRampEdge,700074885#0-AddedOnRampEdge_1,938.82,172.37,11
2022-12-04 01:02:00,randUni11558:1,"[4773.061227843135, 2720.2100070003344]","[31.35176969533341, 30.065209399964555]",48.51437506092978,-699691144#0,-699691144#0_0,793.77,83.69,11
2022-12-04 01:02:00,randUni11569:1,"[5236.297780941269, 1759.1730349819472]","[31.356717064030786, 30.05660022899323]",51.553089327150666,25746572#9,25746572#9_0,437.16,83.72,11
2022-12-04 01:02:00,randUni11706:1,"[2222.9995554571633, 2820.362171094162]","[31.325308533681365, 30.06577856346149]",97.57473737224204,819221586#2-AddedOnRampEdge,819221586#2-AddedOnRampEdge_1,1447.64,356.74,11
2022-12-04 01:02:00,randUni11877:1,"[2229.21472911035, 2746.906422198467]","[31.325384147328958, 30.06511676591184]",102.02765988827962,:7650476445_1,:7650476445_1_0,1395.84,352.97,11
2022-12-04 01:02:00,randUni1241:1,"[2720.9074734635005, 2312.4477454577536]","[31.330549113219217, 30.0612625189574]",48.58524623063194,765656384#0,765656384#0_0,69.99,85.17,11
2022-12-04 01:02:00,randUni1339:1,"[3389.982958641914, 2355.9402508332646]","[31.337481066337773, 30.061742787121425]",102.18736363481936,28582639#7-AddedOffRampEdge,28582639#7-AddedOffRampEdge_1,1732.73,357.25,11
2022-12-04 01:02:00,randUni2646:1,"[4555.326250041046, 2338.839383631645]","[31.349568701497752, 30.061740810764533]",90.69150916768986,25584650#3-AddedOffRampEdge,25584650#3-AddedOffRampEdge_1,775.86,174.51,11
2022-12-04 01:02:00,randUni2839:1,"[5101.717621528528, 3214.551174454285]","[31.355104365738708, 30.06971144079415]",24.097460543083802,654745275#7,654745275#7_0,3565.07,65.14,11
2022-12-04 01:02:00,randUni4685:1,"[4565.83247442354, 1915.6798210158454]","[31.34974098501896, 30.057924952968403]",41.00308435944763,35458366,35458366_0,50.85,84.2,11
2022-12-04 01:02:00,randUni9831:1,"[2989.834311705837, 2339.955935772745]","[31.333333802499432, 30.061546050224504]",32.02397293544235,765656384#3,765656384#3_1,2082.65,84.26,11
2022-12-04 01:03:00,randUni1015:1,"[3400.0807920311936, 1644.331670207672]","[31.3376930560383, 30.055324891106444]",44.76509887059627,768258463#1,768258463#1_0,2363.44,263.88,16
