dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 04:02:00,h16024c1:3,"[2340.5228786210546, 1765.2462319028202]","[31.326687460101766, 30.056276240189025]",74.79655078175941,859375457#1,859375457#1_1,1322.4,353.51,16
2022-12-04 04:02:00,randUni10854:1,"[5192.829986521623, 1553.8143002778984]","[31.356296912582035, 30.05474209246805]",28.643780946736598,-26195753#1,-26195753#1_0,1303.65,6.74,16
2022-12-04 04:02:00,randUni313:1,"[4535.390720429988, 1388.1724504322071]","[31.349504247421038, 30.053162463932065]",43.467482904696,26195767#2,26195767#2_0,3870.3,173.95,16
2022-12-04 04:02:00,randUni3250:1,"[2263.7528127821624, 2471.7937127579385]","[31.325784106739295, 30.062639631585316]",24.360703813214943,906984715#1,906984715#1_0,247.47,352.84,16
2022-12-04 04:02:00,randUni3652:1,"[3367.989218839013, 1451.3347728358788]","[31.337389369538464, 30.053579711592302]",86.79866716701753,850927448,850927448_1,1618.98,84.45,16
2022-12-04 04:02:00,randUni4097:1,"[2266.5968190306153, 2455.976094215674]","[31.325816001971905, 30.062497321895336]",17.559240761187137,:7119891513_2,:7119891513_2_0,285.14,282.01,16
2022-12-04 04:02:00,randUni4397:1,"[4784.451883657557, 3298.848866143703]","[31.351801311384378, 30.070430649340977]",81.61354383360873,939250971,939250971_0,1723.47,251.37,16
2022-12-04 04:02:00,randUni469:1,"[3019.2565901647054, 2346.1340081408553]","[31.33363798722369, 30.061605648885546]",44.175769487801546,765656384#3,765656384#3_0,1292.09,84.25,16
2022-12-04 04:02:00,randUni5441:1,"[2305.8478933668075, 2004.1925871411956]","[31.32629162611245, 30.05842711873106]",116.32366881430221,859375452,859375452_0,5805.33,353.96,16
2022-12-04 04:02:00,randUni6137:1,"[4556.50716576545, 2774.715724398396]","[31.349515698867567, 30.06567290272221]",41.06413199053391,26253959#2,26253959#2_0,1369.3,263.11,16
2022-12-04 04:02:00,randUni6594:1,"[5052.21969564169, 3380.9562618969744]","[31.35456616770647, 30.071206118625952]",18.175186288336082,772236620#23,772236620#23_0,104.53,311.21,16
2022-12-04 04:02:00,randUni7727:1,"[2741.7399871240755, 2532.2713558031987]","[31.330731872444222, 30.0632482211595]",36.1090257918524,-26729390#1,-26729390#1_0,1400.6,352.76,16
2022-12-04 04:02:00,randUni7822:1,"[4188.362877722772, 1931.433719912703]","[31.34582425716069, 30.058017870086484]",73.22308025181144,669890458#3,669890458#3_1,1093.82,353.59,16
2022-12-04 04:02:00,randUni792:1,"[4559.169782397395, 3103.1335680435413]","[31.349494141673826, 30.068635828162833]",32.669908625885896,654745275#1,654745275#1_0,797.49,82.34,16
2022-12-04 04:02:00,randUni8146:1,"[4104.932402837271, 2800.6624991264266]","[31.344828603935984, 30.065848073503986]",27.441549878590905,671448858#0,671448858#0_0,1166.85,86.61,16
2022-12-04 04:02:00,randUni839:1,"[3433.780339218653, 2397.733792789395]","[31.33792896106908, 30.062125538239922]",91.61505064638689,858935302,858935302_0,1423.45,83.52,16
2022-12-04 04:03:00,h16024c1:3,"[2980.245720848907, 2293.085270969565]","[31.333241450797217, 30.06112198353391]",74.43354955465996,765656383#0-AddedOffRampEdge,765656383#0-AddedOffRampEdge_1,2445.11,353.56,17
2022-12-04 04:03:00,randUni10376:1,"[4575.5037665512145, 2363.399186120235]","[31.34977427515457, 30.061964986065554]",35.33243120168091,37711813#3,37711813#3_0,474.04,353.57,17
