dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 02:02:00,randUni11253:1,"[5513.71137976194, 1971.9740751923164]","[31.359562170444455, 30.058555795280355]",39.48363136900659,658893836,658893836_0,57.26,274.85,10
2022-12-04 02:02:00,randUni3236:1,"[4377.361168930809, 3224.913596560467]","[31.34759032436224, 30.069710683812986]",115.99201243812108,939250973,939250973_1,3606.1,83.68,10
2022-12-04 02:02:00,randUni3759:1,"[3323.9297026009076, 2891.0547681025137]","[31.336715343462874, 30.066561232955415]",105.50873286497536,28582639#11,28582639#11_0,1390.02,352.63,10
2022-12-04 02:02:00,randUni4550:1,"[5440.705326832105, 2494.4672654158776]","[31.358727317409052, 30.063259658330995]",37.12886916721205,:cluster_6569939661_6569939663_13,:cluster_6569939661_6569939663_13_0,6831.39,5.72,10
2022-12-04 02:02:00,randUni5524:1,"[3416.3088735894435, 1875.352039324251]","[31.33782651837271, 30.057410989241333]",88.37358840485864,700074885#19,700074885#19_1,577.6,173.46,10
2022-12-04 02:02:00,randUni5854:1,"[2578.1810889002522, 1472.2894895713478]","[31.329196294504243, 30.05366491435043]",48.54022599750419,217280770#1,217280770#1_0,104.25,83.19,10
2022-12-04 02:02:00,randUni7192:1,"[3511.7923741220256, 2654.4569638398034]","[31.338699295385467, 30.064451591785293]",25.091891199426485,32692001#1,32692001#1_0,106.88,83.77,10
2022-12-04 02:02:00,randUni8286:1,"[3621.7825364727623, 1473.8260731607006]","[31.340017698771607, 30.053815853514955]",66.96282224625841,850927453#1-AddedOnRampEdge,850927453#1-AddedOnRampEdge_1,375.92,83.6,10
2022-12-04 02:02:00,randUni8607:1,"[5099.1190265617515, 1637.69603881043]","[31.355312647039813, 30.05548662042709]",91.07028111143573,564577984#4,564577984#4_0,316.83,84.97,10
2022-12-04 02:02:00,randUni8725:1,"[3438.0269226002183, 2771.1968943254055]","[31.337916700499743, 30.06549499821064]",40.89890106116651,25584525#21,25584525#21_0,2295.69,353.59,10
2022-12-04 02:03:00,randUni11024:1,"[4517.326147092577, 1491.3537530740703]","[31.349301484448556, 30.054090887896116]",25.44316462823865,:313957972_10,:313957972_10_0,533.48,242.38,11
